"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 0.0454864974588337 0.322471963330262 0.142632450118399 0.886580468006581 0.940480038496883 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 1.08226139070396 0.206729590232603 5.24775117472555 1.53967055243677e-07 4.8897632476538e-06 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 -0.127142400596971 0.303569653141095 -0.416158912357581 0.677293723290819 0.806927586368046 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.405079990803222 0.350099130454302 -1.13127661351266 0.257938684395256 0.444923978606781 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.236084193370519 0.131606474642391 -1.79358303306157 0.0728797466595009 0.186534592806952 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0992890002490113 0.151684335016794 -0.654603841100548 0.512722850394205 0.685171497657177 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.353517838514518 0.23239204482411 -1.51958693688139 0.128614823085669 0.279273628639742 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.21889077475687 0.112410354535311 1.94722511743637 0.0515077516661535 0.145691571434982 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 0.49789021048238 0.171197722328196 2.90964115075921 0.00361843953258758 0.0204017934273975 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 1.36434318086561 0.268868032207378 5.12604984734111 2.95884299278373e-07 8.50052831496051e-06 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 1.12703736332975 0.248906772590649 4.53886170844053 5.65587119550827e-06 0.000100016798016024 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 -0.20986821357239 0.330640024568749 -0.620394943985402 0.534997800326076 0.702866816046795 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 1.03894850653233 0.285028233504619 3.67476830222599 0.000238065356904735 0.00236926272039688 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 -0.0562762436823899 0.156917823137506 -0.358331787773296 0.720095032151693 0.835636007357738 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.645039443563011 0.169069290381014 3.81323805357044 0.000137157885414865 0.00153003963693978 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 0.30299947140308 0.274186340195704 1.10233396598168 0.270316507957435 0.459254370865554 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.167958047838634 0.342562252716224 0.488680768349317 0.625067721308969 0.771277562291773 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.120945265958216 0.172226013910059 0.702237066728491 0.482531333134207 0.661293858428606 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.229668838711809 0.354009308508247 0.641322138848736 0.521313408302524 0.692012447110576 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.173189385934069 0.0787088469914947 -2.20036664717249 0.0277808921979154 0.092573229997122 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 -0.728225923006837 0.34201173290641 -2.04578841656927 0.040777192182261 0.122897560815291 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.132177052530827 0.175078767775465 0.75493867833769 0.45028577687 0.633944254920868 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 0.733925074469932 0.296008643411327 2.49240894158104 0.0126879859492948 0.0520279863015221 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 0.507919198706165 0.281184173583672 1.81773194421385 0.0691051128316931 0.1800319303877 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.588977952051017 0.174409200620736 3.37790026785877 0.000730415660542892 0.00583894779322686 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 1.11915966844356 0.138148990849755 8.10391009289973 5.32204413089275e-16 1.71351469138433e-13 "protein_coding" "AnxB10"
"FBgn0000097" 1280.43508111836 0.33722808909199 0.0994517599624418 3.39091613614225 0.000696594132268181 0.00559733168071257 "protein_coding" "aop"
"FBgn0000100" 27294.8471288338 -0.740848548683351 0.138488129551175 -5.34860732507661 8.86336102255419e-08 3.0313993358091e-06 "protein_coding" "RpLP0"
"FBgn0000108" 106.45628533873 -0.429141797332511 0.231475619766767 -1.8521210696426 0.0640084395997979 0.170318267467459 "protein_coding" "Appl"
"FBgn0000109" 354.454553636857 0.572408812586893 0.160908394380895 3.55673235549197 0.000375496368079061 0.00342383748901777 "protein_coding" "Aprt"
"FBgn0000114" 62.9600655590441 -0.59570420252424 0.352022545435897 -1.60257653501442 0.109028177746044 0.248857862853672 "protein_coding" "bru1"
"FBgn0000115" 817.167268316576 0.0556242150163408 0.10755035941909 0.517161213012009 0.605043625541956 0.756201306002901 "protein_coding" "Arl1"
"FBgn0000116" 19965.9092425825 -0.111774664206231 0.147108536567116 -0.759888195744732 0.447321418127967 0.631580233035057 "protein_coding" "Argk"
"FBgn0000117" 4128.64885174579 0.0854634125731336 0.0697357282990778 1.22552855128954 0.220376139415816 0.401414751019406 "protein_coding" "arm"
"FBgn0000119" 692.965849089516 -0.309580889930997 0.127529696300236 -2.42751007644399 0.0152028645225538 0.0594925172033047 "protein_coding" "arr"
"FBgn0000120" 23.1874550726902 -3.03782624969645 0.332536011011195 -7.53981780122729 4.70628533756932e-14 9.25436065320196e-12 "protein_coding" "Arr1"
"FBgn0000121" 10.3265187387127 -1.04038246013415 0.3435948237434 -2.69431109173953 0.00705342972505348 0.0339576656864646 "protein_coding" "Arr2"
"FBgn0000139" 435.276807545331 -0.338778520001641 0.109395915505843 -3.09577364261544 0.00196300151763351 0.0125882865179561 "protein_coding" "ash2"
"FBgn0000140" 38.4892297795964 0.110608182617515 0.330966507156702 0.341959635273619 0.732381269383246 0.845166717616038 "protein_coding" "asp"
"FBgn0000146" 10.8193159341916 0.0810964497309822 0.352342931581584 0.222563567293124 0.823875194308721 0.902454562325262 "protein_coding" "aub"
"FBgn0000147" 10.1984920573565 0.600794818890542 0.351863956089184 1.67403240229172 0.0941242314338512 0.224021908972182 "protein_coding" "aurA"
"FBgn0000150" 7394.76004167197 -0.016275773712053 0.0912626166335762 -0.178331126710532 0.858462935010297 0.925253194527432 "protein_coding" "awd"
"FBgn0000152" 110.52026734165 -0.21706928059668 0.211731312751591 -1.02781857220897 0.304035178303027 0.49585615018609 "protein_coding" "Axs"
"FBgn0000153" 16.329531495455 -1.3794427799568 0.35345666563873 -3.63915121344134 0.000273538150683533 0.00264665876987787 "protein_coding" "b"
"FBgn0000163" 798.187002632534 0.344723462379562 0.13548213509344 2.54462381305892 0.0109395521506397 0.0465766522711004 "protein_coding" "baz"
"FBgn0000173" 2022.32426536867 0.172775455773528 0.111686493382934 1.54698130124612 0.121867754648352 0.268811534408614 "protein_coding" "ben"
"FBgn0000180" 69.9774411224989 0.316671792023917 0.29011213233639 1.10421999690938 0.269497717260184 0.458526861050014 "protein_coding" "bib"
"FBgn0000181" 7683.40876093057 -0.325805132660374 0.0819241304046586 -3.97684336916668 6.98361310499302e-05 0.000859104025840841 "protein_coding" "bic"
"FBgn0000182" 10.1344621497461 -0.172534144586388 0.339683384328469 -0.461141913849839 0.644696792324605 0.785327325497044 "protein_coding" "BicC"
"FBgn0000183" 2214.81568835519 0.223798928786929 0.0877468114915814 2.55054070619418 0.0107555963061637 0.0459400744330515 "protein_coding" "BicD"
"FBgn0000212" 970.809109197672 -0.243112929026405 0.111924428277955 -2.17211767786156 0.0298467879043029 0.0977553739782228 "protein_coding" "brm"
"FBgn0000221" 103.948888437438 -0.00475465605662156 0.208988029993237 -0.0223548811523217 0.982164870972362 0.992769322352065 "protein_coding" "brn"
"FBgn0000228" 693.059691174808 -0.215608446981483 0.11345485783423 -1.90037835522163 0.0573834853034794 0.157770789834684 "protein_coding" "Bsg25D"
"FBgn0000229" 1025.00110166649 0.247203136914659 0.107755747273525 2.29400494850094 0.0217902144990397 0.0773594040979214 "protein_coding" "bsk"
"FBgn0000239" 1239.09373840814 -0.0217166143182183 0.0900163279473808 -0.241377802336998 0.809262315365128 0.89316866986439 "protein_coding" "bur"
"FBgn0000241" 81.2208829016633 1.47370320487716 0.256029731959062 5.73110627241286 9.97777255036879e-09 4.75318685218334e-07 "protein_coding" "bw"
"FBgn0000244" 1896.6372344273 -0.144392058086858 0.177692462729538 -0.812485032899894 0.416513371357941 0.603973497184205 "protein_coding" "by"
"FBgn0000246" 52.8780571683944 -0.173621858116298 0.239876313887067 -0.723405832614576 0.469430588884374 0.649825560921186 "protein_coding" "c(3)G"
"FBgn0000247" 922.344855217996 -0.128822321716432 0.0822421933348103 -1.56647898227286 0.11723652524328 0.261312350488544 "protein_coding" "ca"
"FBgn0000250" 1782.36386869052 0.0282130271637835 0.114230132258764 0.247005216207296 0.804904187185924 0.889743823384695 "protein_coding" "cact"
"FBgn0000251" 1127.83060085979 0.066384246451661 0.213901496560249 0.310059912753146 0.756515395963622 0.860703800325934 "protein_coding" "cad"
"FBgn0000253" 21005.1172751806 0.196939717597333 0.103753270467876 1.89819590151339 0.0576702805240405 0.158186665467969 "protein_coding" "Cam"
"FBgn0000256" 1844.29454026402 -0.468328622615356 0.218985750121946 -2.14095748649301 0.0322774666038103 0.103444008975342 "protein_coding" "capu"
"FBgn0000257" 399.963622442241 0.172450083303546 0.108878684493309 1.58385110097304 0.11322760730114 0.254994252139592 "protein_coding" "car"
"FBgn0000259" 1320.75018812942 -0.0540918295221499 0.097166201247877 -0.556799061720261 0.577664725014336 0.736805952122164 "protein_coding" "CkIIbeta"
"FBgn0000261" 6861.76423854847 0.170225130727562 0.154288202866935 1.10331275231068 0.269891370587696 0.459011972163446 "protein_coding" "Cat"
"FBgn0000273" 1982.24087030741 0.0141417862391845 0.0781035872584964 0.181091986434776 0.856295374505694 0.924264909877017 "protein_coding" "Pka-C1"
"FBgn0000276" 18.4734390074873 1.14086360782548 0.353825474103408 3.25108141095841 0.00114966931882543 0.0083019817709768 "protein_coding" "CecA1"
"FBgn0000283" 1427.00904551166 -0.426982739831142 0.0775356136372815 -5.50657401240933 3.65884177692084e-08 1.44146015489915e-06 "protein_coding" "Cp190"
"FBgn0000286" 544.341526567985 -0.215953664028583 0.107823246746393 -2.00300739309692 0.0451764949417843 0.132854467172107 "protein_coding" "Cf2"
"FBgn0000289" 1303.32864192857 -0.264792290457952 0.0775343510043308 -3.41509957768015 0.000637586980039518 0.00521348408071347 "protein_coding" "cg"
"FBgn0000299" 258.453791395585 -0.107666421988148 0.265569865043349 -0.402174060552386 0.68755593092617 0.814725664290396 "protein_coding" "Col4a1"
"FBgn0000307" 687.895288880016 -0.0154066395840619 0.108833495683141 -0.141926066235734 0.887138404846688 0.940912054842482 "protein_coding" "chif"
"FBgn0000308" 11219.0132690772 0.536677399186447 0.106080219939453 5.05951744763333 4.20318818480819e-07 1.12210708964481e-05 "protein_coding" "chic"
"FBgn0000316" 543.469981557136 0.0917996044799777 0.107357666153055 0.855105469544422 0.392492761915178 0.581699193333654 "protein_coding" "cin"
"FBgn0000317" 736.566502951648 -0.120136001358796 0.124864505028112 -0.962507882488261 0.335794545565389 0.528720686668472 "protein_coding" "ck"
"FBgn0000318" 3166.78931569009 0.293158577367228 0.113174881300296 2.59041751233971 0.00958595919142395 0.0422587823278213 "protein_coding" "cl"
"FBgn0000319" 9448.80407522135 0.177566714329917 0.11427653170512 1.55388205668527 0.120212552530778 0.266229744539819 "protein_coding" "Chc"
"FBgn0000326" 561.66491190324 0.355519232127929 0.137098594142427 2.59326557511599 0.00950693266288295 0.0420493748334146 "protein_coding" "clt"
"FBgn0000330" 244.849700217894 0.277155878032906 0.133263342365571 2.07951051208838 0.0375704526162792 0.115850500686327 "protein_coding" "cm"
"FBgn0000339" 1281.06961060509 0.403872844504481 0.105332497373122 3.83412635757123 0.000126011356835678 0.0014261430773027 "protein_coding" "cni"
"FBgn0000346" 16.3500157808007 -0.0186166728339295 0.331613334283489 -0.058013228785012 0.953738091227707 0.976217118810908 "protein_coding" "comt"
"FBgn0000352" 141.296782157535 -0.170467240057067 0.221437869841151 -0.767887089458666 0.4425542682419 0.627601640731261 "protein_coding" "cos"
"FBgn0000355" 97.8246608481421 0.679093277855416 0.233778551928188 4.22951589084286 NA NA "protein_coding" "Cp15"
