"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 -0.210498001459742 0.322319950056647 -0.654427163558012 0.512836638688319 0.950486601143771 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 -0.146303106232305 0.197942466376867 -0.736642467620601 0.46133980216443 0.935809196786722 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 0.197483306112285 0.305216846411336 0.650226088694231 0.515546191545214 0.950711488506024 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.292044783157118 0.350290583816614 -0.824851142576343 0.40945610717135 0.91724848192392 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.0869864260249945 0.132431017157624 -0.657088084452894 0.511124280098526 0.950480986618596 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0523412069587315 0.15236989652334 -0.343678458022315 0.731088113441129 0.979306187120437 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.161211888712324 0.232572595484209 -0.693332047842375 0.488101195509354 0.943689432881814 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.0755884927744475 0.111957131210677 0.675160725951769 0.499573655761789 0.946341899745957 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 -0.0710439644507577 0.171190251559904 -0.414852450183701 0.678249920555159 0.976684069744528 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 -0.0331302566689816 0.268773556066245 -0.122216764378591 0.902727349929587 0.993055501514769 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.412513525845227 0.248831645619926 1.65159749541823 0.0986166309467486 0.676495578628251 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 0.209429020107364 0.331196625258981 0.632388370035114 0.527133131549348 0.951802205540144 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 0.198208003996728 0.284662237487845 0.691109610563975 0.489496661173217 0.943689432881814 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 0.22156095541401 0.157801334077266 1.40422844075935 0.160250835319802 0.761969513025977 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.682136029733189 0.169288175135952 4.02740472720505 5.6395907649014e-05 0.00797831196543703 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 0.30675600264766 0.274191986734526 1.11602319303265 0.264412206997657 0.85544586858528 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.0937719304666931 0.342463194365047 0.271730417779603 0.785829310992617 0.987423291380315 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.0269672480656835 0.172056282778963 0.156763537316249 0.875431210491468 0.992534466752271 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.0785161264736002 0.353986448272563 0.215601856048024 0.829298108910314 0.989094864639647 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.0841735630640397 0.0787446236473318 -1.06895219972669 0.285091208834066 0.868440030705831 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 0.0187916624637318 0.344780431883945 0.0538333414205415 0.957067945412293 0.994673130711775 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.00507038974278683 0.1745826870463 0.0292104862958969 0.976696717948725 0.997031493802761 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 0.112805469419085 0.296002964094825 0.377640295328675 0.705697826176904 0.979306187120437 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 -0.169287157754453 0.281181372096786 -0.59897747425831 0.549187905936109 0.95756628902436 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.130902899828206 0.174190790578236 0.751158627698582 0.452557195671274 0.930322883307505 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 -0.066712521500879 0.133992559573243 -0.49725921727356 0.619006267107922 0.968270037190919 "protein_coding" "AnxB10"
