"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 -0.344242866378491 0.322129576107473 -1.06453227079064 0.287087643413859 0.810926155582 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 -0.335777050382038 0.196295048030421 -1.70139956336324 0.0888679832446468 0.580520626652563 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 -0.00956274148776642 0.30351717358849 -0.0310774761191359 0.975207752444837 0.996695092958801 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 0.299281001929739 0.350846536461471 0.901197064297094 0.367483551578332 0.85865713740913 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.0679110572201464 0.131756913412084 -0.516116539068922 0.60577301720573 0.944171554521115 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0697206807126576 0.150965417271516 -0.462184152762982 0.643949266604486 0.954209039350304 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 0.120698839263994 0.232661116970201 0.519439408985023 0.603454355571263 0.944118801005309 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.102885794479019 0.111324222798359 0.924483084928513 0.355234854296023 0.853672609428504 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 -0.0744791960244517 0.171188228389577 -0.434912652964408 0.663625829998281 0.958093462905419 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 -0.0109400368604208 0.268767320923912 -0.0403292146576485 0.967830662790893 0.995403647557651 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.19875471648516 0.248801271149493 0.794554289463594 0.426872817014236 0.889473192140682 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 0.419833099567669 0.331242864503022 1.28226934049457 0.199748179247166 0.740694604452121 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 0.0252214711090622 0.28455406791322 0.0880374768978157 0.929846889512177 0.991163245132762 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 0.0634011742926062 0.156890925683059 0.404205495079202 0.686061613230463 0.961920101523441 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.385166847492046 0.168190747467488 2.28876288527425 0.0220931330110392 0.330582664942424 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 0.352245036669425 0.274177711338449 1.28244376968838 0.199687018330181 0.740694604452121 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.19146241197122 0.342201637023286 0.55858949331249 0.576441912181625 0.938801184668355 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.0898904084914303 0.171674952401104 0.523658215958844 0.600516282624847 0.942990334824789 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.314441061368052 0.354000824891472 0.88942097871818 0.373776874439397 0.862321891084091 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.0171699840392999 0.0787152807367528 -0.218161808688627 0.827303040618796 0.980045759997013 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 0.184569045917293 0.344741818370607 0.545282607498439 0.585559164216122 0.940215897096551 "protein_coding" "amd"
