"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000592" 169.026309837373 -1.60778054825098 0.343361155578267 -5.17918473281893 2.2285769757695e-07 6.93607440758659e-05 "protein_coding" "Est-6"
"FBgn0003046" 16.2602974543585 2.93196680733094 0.352175962937164 5.88229969358053 4.04604857340337e-09 2.69842539499052e-06 "protein_coding" "Pcp"
"FBgn0003082" 181.501971279934 -0.976587081388772 0.182785912791426 -5.33738326303414 9.42975760125859e-08 3.38637102780582e-05 "protein_coding" "phr"
"FBgn0004429" 209.842880726045 -1.47171820740529 0.315882625457316 -5.74409874752637 9.24118503565171e-09 5.64626464509445e-06 "protein_coding" "LysP"
"FBgn0004607" 474.122544560869 1.21412794091176 0.323693333367615 3.66135353700638 0.000250886272115792 0.0212956829340468 "protein_coding" "zfh2"
"FBgn0005670" 1025.1252184319 0.728917948268724 0.215945400127413 3.38787919014801 0.000704352811368284 0.0439771297928833 "protein_coding" "Cyp4d1"
"FBgn0010241" 3753.8968802781 0.850120938790067 0.227818605282094 3.73633150910859 0.000186724465368538 0.0174344633314604 "protein_coding" "Mdr50"
"FBgn0011834" 7558.75136347224 0.837662226360099 0.171552202801654 4.87901784002718 1.06615421304395e-06 0.000261965312820826 "protein_coding" "Ser6"
"FBgn0013765" 420.428284747378 -0.902603807865337 0.15900972219568 -5.66957427097679 1.43152784765872e-08 7.86245618446441e-06 "protein_coding" "cnn"
"FBgn0015033" 620.64751015106 0.791553570303706 0.207756772715153 3.81245749374232 0.000137591897156447 0.0139640819972799 "protein_coding" "Cyp4d8"
"FBgn0015037" 670.729411986049 1.49843026822901 0.207758948725942 7.21365574417256 5.44693588104279e-13 1.69526801070988e-09 "protein_coding" "Cyp4p1"
"FBgn0015569" 525.880891490387 0.780950255947581 0.246291412959183 3.17048629006971 0.00152184014133798 0.0740074031232955 "protein_coding" "alpha-Est10"
"FBgn0025642" 15.6344345231058 2.24822906260347 0.333008592716493 5.99580950981166 2.02474255482434e-09 1.57541843619957e-06 "protein_coding" "CG32812"
"FBgn0025697" 820.282952578513 0.736605375950452 0.128401227189657 5.73632118789223 9.67550972705486e-09 5.64626464509445e-06 "protein_coding" "santa-maria"
"FBgn0026431" 151.327935293109 0.625907135817978 0.184826142667457 3.38241446795148 0.0007185164879576 0.0444290625699345 "protein_coding" "Grip75"
"FBgn0027343" 205.113709876253 0.867125722438097 0.249601133611034 3.4775398089376 0.00050603790086846 0.0357945142455213 "protein_coding" "fz3"
"FBgn0027570" 484.357489150026 -1.16845290584963 0.348307859870136 -3.31969754118746 0.000901150235809289 0.0513051204375081 "protein_coding" "Nep2"
"FBgn0027586" 425.021069522044 0.775659969519314 0.214671983508714 3.60766909927138 0.000308960173614588 0.0252719032409337 "protein_coding" "CG5867"
"FBgn0027620" 174.155860028454 -0.931380703141561 0.274368448287366 -3.43061777391995 0.000602208491218752 0.0393204243532132 "protein_coding" "Acf"
"FBgn0028400" 43.2878915265713 -0.866151906403435 0.286130189159921 -3.77509200923852 0.000159948614552699 0.0153962908667892 "protein_coding" "Syt4"
