"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 0.389729363837325 0.322091328224093 1.20785695198543 0.227102290415147 0.406762725034765 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 1.41803844108599 0.204189833492848 6.93573835886844 4.04104906818789e-12 4.91704520570718e-10 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 -0.117579659109205 0.302569748426882 -0.387563518845673 0.698339070482402 0.821104634314845 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.704360992732961 0.35021228628971 -2.03557603872165 0.0417929459041805 0.12491060688455 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.168173136150373 0.130281605621662 -1.29087594749254 0.196746696998582 0.369251037160957 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0295683195363537 0.149453905554853 -0.198056314902339 0.843001003381271 0.913862808379302 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.474216677778513 0.23229759030444 -2.04090909534188 0.0412598635984427 0.123832641086036 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.116004980277851 0.111904022773223 1.03709043826031 0.299693710951985 0.491005470987661 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 0.572369406506832 0.171194242852236 3.34460305538373 0.000824004103037421 0.00595489652481455 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 1.37528321772603 0.268858338280134 5.16662408301214 2.38359982387103e-07 6.82689311517908e-06 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.928282646844588 0.248905033389115 3.74486361321264 0.000180491798697639 0.00171789186996927 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 -0.629701313140059 0.330900985512753 -1.90422041512691 0.0568814839991083 0.156114760758282 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 1.01372703542327 0.284970256208686 3.5881808738359 0.000332993255582119 0.00283423703497743 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 -0.119677417974996 0.156505371973943 -0.764697267405128 0.444451833751083 0.629050594472315 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.259872596070965 0.16936707192226 1.53516930943701 0.124742244921837 0.269844928060041 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 -0.0492455652663455 0.274198966524485 -0.180033284832781 0.857126437586928 0.92221589626056 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 -0.0235043641325865 0.342456778313175 -0.0676251642734043 0.946084023056667 0.968488819568041 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.0310548574667859 0.171774319301068 0.181042062885002 0.85633456008657 0.92168251153064 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 -0.0847722226562423 0.354027611213613 -0.245642235332639 0.805959191658708 0.889298153216421 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.156019401894769 0.078641696526059 -1.98392365900207 0.0472643509916202 0.135953181495476 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 -0.91279496892413 0.341840873959935 -2.60551530399375 0.00917361752746824 0.0402509712659638 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.0130076200474397 0.174467929342517 0.0750675821719966 0.94016094070363 0.965389057885164 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 0.525362628448727 0.296008522981728 1.79278386130025 0.0730074910300194 0.186281667380791 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 0.550826551050446 0.281183169087764 1.96986054149885 0.0488543557571506 0.13914942365266 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.470788072211522 0.174364914318493 2.70142645984369 0.00690427470446424 0.032281027999791 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 1.29621046600416 0.137249726250526 9.44359524337783 3.60203297977973e-21 1.77011483853702e-18 "protein_coding" "AnxB10"
"FBgn0000097" 1280.43508111836 0.245950532173626 0.0992374547025359 2.47872969750336 0.0131851184191866 0.0534097399912993 "protein_coding" "aop"
"FBgn0000100" 27294.8471288338 -0.615821558196116 0.13846687749299 -4.44635108537107 8.73411627988282e-06 0.000144849811199407 "protein_coding" "RpLP0"
"FBgn0000108" 106.45628533873 -0.247311005987264 0.229013726433938 -1.07862262340354 0.280755991849849 0.469826683791281 "protein_coding" "Appl"
"FBgn0000109" 354.454553636857 0.272976322841233 0.161136495504816 1.69574956266646 0.0899333179746207 0.215641343073712 "protein_coding" "Aprt"
"FBgn0000114" 62.9600655590441 -0.920756206094155 0.352064333225626 -2.58051128156032 0.00986541328290617 0.0425662494558664 "protein_coding" "bru1"
"FBgn0000115" 817.167268316576 0.0589154294884472 0.10699692161911 0.550702703821356 0.581837490828221 0.739036858598816 "protein_coding" "Arl1"
