"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000008" 149.971447027269 1.41803844108599 0.204189833492848 6.93573835886844 4.04104906818789e-12 4.91704520570718e-10 "protein_coding" "a"
"FBgn0000043" 8263.80558992245 1.37528321772603 0.268858338280134 5.16662408301214 2.38359982387103e-07 6.82689311517908e-06 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.928282646844588 0.248905033389115 3.74486361321264 0.000180491798697639 0.00171789186996927 "protein_coding" "Act57B"
"FBgn0000046" 920.561092777963 1.01372703542327 0.284970256208686 3.5881808738359 0.000332993255582119 0.00283423703497743 "protein_coding" "Act87E"
"FBgn0000075" 18.2040356323414 -0.91279496892413 0.341840873959935 -2.60551530399375 0.00917361752746824 0.0402509712659638 "protein_coding" "amd"
"FBgn0000084" 561.782003636516 1.29621046600416 0.137249726250526 9.44359524337783 3.60203297977973e-21 1.77011483853702e-18 "protein_coding" "AnxB10"
"FBgn0000100" 27294.8471288338 -0.615821558196116 0.13846687749299 -4.44635108537107 8.73411627988282e-06 0.000144849811199407 "protein_coding" "RpLP0"
"FBgn0000114" 62.9600655590441 -0.920756206094155 0.352064333225626 -2.58051128156032 0.00986541328290617 0.0425662494558664 "protein_coding" "bru1"
"FBgn0000120" 23.1874550726902 -3.36530387815944 0.333674240688273 -7.86889090649727 3.57799003239018e-15 8.2604497233815e-13 "protein_coding" "Arr1"
"FBgn0000121" 10.3265187387127 -1.08101235015693 0.344228491220753 -2.84736691753546 0.00440825213277218 0.0227780023042025 "protein_coding" "Arr2"
"FBgn0000153" 16.329531495455 -1.4958568083908 0.353571957371348 -4.04052726904397 5.33311632511919e-05 0.000646601212117348 "protein_coding" "b"
"FBgn0000180" 69.9774411224989 0.770418618330026 0.287333629306309 2.68304369155681 0.00729554584226109 0.0337714322381345 "protein_coding" "bib"
"FBgn0000241" 81.2208829016633 0.83625800018487 0.258039704822775 3.27670713590953 0.00105025244674898 0.0072263869530547 "protein_coding" "bw"
"FBgn0000308" 11219.0132690772 0.586667818379549 0.106034035684715 5.53318757362028 3.14462865486557e-08 1.23367217438991e-06 "protein_coding" "chic"
"FBgn0000357" 14.9986223837403 1.32103168574898 0.333952089957237 4.01588349547532 5.92235089000456e-05 0.000704420258088822 "protein_coding" "Cp18"
"FBgn0000395" 523.579965609385 1.20540578482821 0.31054317172564 3.90468067855143 9.43498810547448e-05 0.0010149134094564 "protein_coding" "cv-2"
"FBgn0000404" 135.591395032949 0.772045302746576 0.25793050449741 3.00274591531678 0.00267555710716466 0.0152327297009734 "protein_coding" "CycA"
"FBgn0000422" 134.644393662964 -1.32969814740403 0.329482735098875 -4.0232076919743 5.74108262598486e-05 0.000686930315478098 "protein_coding" "Ddc"
