"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 0.0454864974589077 0.322471963329895 0.142632450118782 0.886580468006279 0.940480038496645 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 1.08226139070431 0.206729590232315 5.24775117473451 1.53967055236194e-07 4.88976324741615e-06 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 -0.127142400597111 0.303569653140748 -0.416158912358516 0.677293723290134 0.806927586367231 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.405079990803978 0.350099130454186 -1.13127661351524 0.257938684394171 0.444923978604909 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.236084193370547 0.131606474642214 -1.79358303306417 0.0728797466590856 0.186534592805889 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0992890002490196 0.151684335016624 -0.654603841101361 0.512722850393681 0.685171497656477 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.353517838514732 0.23239204482366 -1.5195869368853 0.128614823084686 0.279273628637607 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.218890774756878 0.112410354535173 1.94722511743886 0.0515077516658544 0.145691571434136 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 0.497890210482529 0.171197722327841 2.9096411507661 0.00361843953250786 0.020401793426948 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 1.36434318086709 0.268868032206885 5.12604984735556 2.95884299255685e-07 8.5005283143087e-06 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 1.12703736333067 0.248906772590164 4.53886170845295 5.65587119517528e-06 0.000100016798010136 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 -0.209868213572721 0.33064002456844 -0.620394943987043 0.534997800324996 0.702866816045376 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 1.03894850653358 0.285028233504148 3.67476830223622 0.000238065356895198 0.00236926272033052 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 -0.0562762436823983 0.156917823137227 -0.358331787773994 0.720095032151171 0.835636007357132 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.645039443563179 0.169069290380695 3.81323805357864 0.000137157885410314 0.00153003963688901 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 0.302999471403386 0.274186340195214 1.10233396598479 0.270316507956084 0.459254370864391 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.167958047838861 0.342562252716057 0.48868076835023 0.625067721308322 0.771277562290974 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.12094526595825 0.172226013909762 0.70223706672991 0.482531333133323 0.661293858427394 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.229668838712213 0.354009308508238 0.641322138849905 0.521313408301764 0.692012447109868 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.173189385934077 0.0787088469914121 -2.20036664717495 0.0277808921977409 0.0925732299965408 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 -0.728225923007858 0.342011732906229 -2.04578841657343 0.0407771921818514 0.122897560814056 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.132177052530866 0.175078767775209 0.754938678338972 0.450285776869231 0.633944254919785 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 0.733925074470932 0.296008643410854 2.49240894158826 0.0126879859490367 0.0520279863004637 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 0.507919198706763 0.281184173583184 1.81773194421907 0.0691051128308937 0.180031930385618 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.588977952051183 0.174409200620391 3.37790026786647 0.000730415660522441 0.00583894779306338 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 1.11915966844371 0.138148990849538 8.10391009291355 5.32204413028804e-16 1.71351469118963e-13 "protein_coding" "AnxB10"
"FBgn0000097" 1280.43508111836 0.337228089092007 0.0994517599623074 3.39091613614702 0.000696594132256077 0.00559733168061531 "protein_coding" "aop"
"FBgn0000100" 27294.8471288338 -0.740848548683469 0.138488129550899 -5.34860732508822 8.86336102198601e-08 3.03139933561477e-06 "protein_coding" "RpLP0"
"FBgn0000108" 106.45628533873 -0.429141797332725 0.231475619766418 -1.85212106964629 0.0640084395992673 0.170318267466047 "protein_coding" "Appl"
"FBgn0000109" 354.454553636857 0.572408812587001 0.160908394380624 3.55673235549866 0.00037549636806951 0.00342383748893068 "protein_coding" "Aprt"
"FBgn0000114" 62.9600655590441 -0.595704202525536 0.352022545435794 -1.60257653501883 0.109028177745071 0.248857862852022 "protein_coding" "bru1"
"FBgn0000115" 817.167268316576 0.0556242150163486 0.107550359418935 0.517161213012818 0.605043625541391 0.756201306001746 "protein_coding" "Arl1"
"FBgn0000116" 19965.9092425825 -0.111774664206261 0.147108536566812 -0.759888195746416 0.447321418126961 0.631580233033636 "protein_coding" "Argk"
"FBgn0000117" 4128.64885174579 0.0854634125731331 0.069735728299018 1.22552855129055 0.220376139415436 0.401414751018713 "protein_coding" "arm"
"FBgn0000119" 692.965849089516 -0.309580889931042 0.127529696300025 -2.42751007644831 0.0152028645223726 0.0594925172025956 "protein_coding" "arr"
"FBgn0000120" 23.1874550726902 -3.0378262497001 0.33253601101097 -7.53981780123874 4.70628533715583e-14 9.25436065232633e-12 "protein_coding" "Arr1"
"FBgn0000121" 10.3265187387127 -1.04038246013703 0.343594823743599 -2.69431109174591 0.00705342972491851 0.033957665686112 "protein_coding" "Arr2"
"FBgn0000139" 435.276807545331 -0.33877852000166 0.109395915505711 -3.09577364261935 0.00196300151760762 0.01258828651779 "protein_coding" "ash2"
"FBgn0000140" 38.4892297795964 0.110608182617702 0.330966507156445 0.341959635274411 0.73238126938265 0.845166717615351 "protein_coding" "asp"
"FBgn0000146" 10.8193159341916 0.08109644973108 0.352342931581525 0.222563567293484 0.823875194308441 0.902454562324955 "protein_coding" "aub"
"FBgn0000147" 10.1984920573565 0.600794818891365 0.351863956089124 1.67403240229431 0.0941242314333428 0.224021908970972 "protein_coding" "aurA"
"FBgn0000150" 7394.76004167197 -0.0162757737120537 0.0912626166334483 -0.178331126710858 0.858462935010041 0.925253194527156 "protein_coding" "awd"
"FBgn0000152" 110.52026734165 -0.217069280596774 0.211731312751284 -1.02781857221091 0.304035178302117 0.495856150184605 "protein_coding" "Axs"
"FBgn0000153" 16.329531495455 -1.37944277995964 0.353456665638762 -3.63915121344846 0.000273538150675968 0.00264665876980468 "protein_coding" "b"
"FBgn0000163" 798.187002632534 0.344723462379613 0.135482135093211 2.54462381306356 0.0109395521504944 0.0465766522704816 "protein_coding" "baz"
"FBgn0000173" 2022.32426536867 0.172775455773547 0.11168649338276 1.5469813012487 0.121867754647729 0.26881153440724 "protein_coding" "ben"
"FBgn0000180" 69.9774411224989 0.316671792024213 0.290112132336044 1.10421999691165 0.269497717259199 0.458526861048358 "protein_coding" "bib"
"FBgn0000181" 7683.40876093057 -0.325805132660385 0.0819241304045745 -3.97684336917086 6.98361310487017e-05 0.000859104025825728 "protein_coding" "bic"
"FBgn0000182" 10.1344621497461 -0.172534144586799 0.339683384328664 -0.461141913850782 0.644696792323929 0.78532732549622 "protein_coding" "BicC"
"FBgn0000183" 2214.81568835519 0.223798928786937 0.0877468114914806 2.55054070619721 0.0107555963060702 0.0459400744326521 "protein_coding" "BicD"
