"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 -0.210498001460085 0.322319950056278 -0.654427163559811 0.51283663868716 0.950486601142134 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 -0.146303106232363 0.19794246637655 -0.736642467622076 0.461339802163533 0.935809196784903 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 0.197483306112496 0.305216846411001 0.65022608869562 0.515546191544317 0.950711488504408 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.29204478315769 0.350290583816501 -0.82485114257825 0.409456107170267 0.917248481921494 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.0869864260250105 0.132431017157448 -0.657088084453886 0.511124280097888 0.950480986616922 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0523412069587426 0.152369896523172 -0.343678458022776 0.731088113440782 0.979306187119893 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.161211888712425 0.23257259548376 -0.693332047844156 0.488101195508237 0.94368943288003 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.0755884927744532 0.111957131210538 0.675160725952662 0.499573655761222 0.946341899744883 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 -0.0710439644507782 0.171190251559549 -0.414852450184714 0.678249920554418 0.97668406974346 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 -0.0331302566690118 0.268773556065751 -0.122216764378942 0.902727349929309 0.993055501514532 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.412513525845539 0.248831645619441 1.65159749542276 0.0986166309458252 0.676495578625678 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 0.209429020107697 0.33119662525868 0.632388370036694 0.527133131548316 0.9518022055391 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 0.198208003996936 0.284662237487372 0.691109610565897 0.489496661172009 0.94368943288003 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 0.221560955414056 0.157801334076989 1.40422844076207 0.160250835318994 0.761969513023156 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.682136029733368 0.169288175135634 4.02740472721369 5.63959076469412e-05 0.00797831196514379 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 0.306756002647971 0.274191986734036 1.11602319303581 0.264412206996303 0.855445868580903 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.0937719304668048 0.342463194364878 0.271730417780074 0.785829310992255 0.987423291380057 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.0269672480656886 0.172056282778666 0.156763537316556 0.875431210491226 0.992534466752007 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.078516126473723 0.353986448272551 0.215601856048396 0.829298108910023 0.989094864639399 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.0841735630640486 0.0787446236472489 -1.06895219972784 0.285091208833546 0.868440030702915 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 0.0187916624637476 0.344780431883798 0.0538333414206023 0.957067945412245 0.994673130711724 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.0050703897427873 0.174582687046042 0.0292104862959193 0.976696717948708 0.997031493802749 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 0.112805469419223 0.296002964094353 0.377640295329773 0.705697826176088 0.979306187119893 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 -0.169287157754635 0.281181372096298 -0.598977474259987 0.54918790593499 0.95756628902241 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.130902899828246 0.17419079057789 0.751158627700296 0.452557195670243 0.930322883305385 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 -0.0667125215008938 0.133992559573016 -0.497259217274499 0.61900626710726 0.968270037189924 "protein_coding" "AnxB10"
"FBgn0000097" 1280.43508111836 0.103413622226452 0.0990994777311693 1.04351888557194 0.296708038711755 0.8685441534707 "protein_coding" "aop"
"FBgn0000100" 27294.8471288338 -0.0273315115686425 0.138526593551572 -0.197357402581807 0.843547861793971 0.990166105771094 "protein_coding" "RpLP0"
"FBgn0000108" 106.45628533873 -0.137719827463431 0.233297270660897 -0.592170181265457 0.553736634901548 0.958923869949577 "protein_coding" "Appl"
"FBgn0000109" 354.454553636857 0.288427349855002 0.160007288848179 1.80159487688039 0.0716091678986767 0.603132854926943 "protein_coding" "Aprt"
"FBgn0000114" 62.9600655590441 0.0682231850724708 0.352255774141553 0.197591429949245 0.843364740519386 0.990166105771094 "protein_coding" "bru1"
"FBgn0000115" 817.167268316576 -0.0366486931340633 0.107433485149039 -0.341094172418047 0.733032688190013 0.979306187119893 "protein_coding" "Arl1"
"FBgn0000116" 19965.9092425825 -0.174965897233023 0.147107451016672 -1.18943420092636 0.234268849148645 0.834335696562066 "protein_coding" "Argk"
"FBgn0000117" 4128.64885174579 0.0215530945644242 0.0697213404757669 0.309135450144065 0.757218493664001 0.983811418646394 "protein_coding" "arm"
"FBgn0000119" 692.965849089516 -0.153276343480319 0.127992558086274 -1.19787511981996 0.230965637042015 0.834304120187754 "protein_coding" "arr"
"FBgn0000120" 23.1874550726902 -0.427515448256297 0.346399748626213 -1.42565484717142 0.153967996041219 0.754463058997379 "protein_coding" "Arr1"
"FBgn0000121" 10.3265187387127 -0.108303298445289 0.341256457830208 -0.39270640889686 0.694536336579278 0.979036004115326 "protein_coding" "Arr2"
"FBgn0000139" 435.276807545331 -0.0489032779796351 0.110841683125098 -0.441435728993996 0.658897580957302 0.973655176765802 "protein_coding" "ash2"
"FBgn0000140" 38.4892297795964 -0.374833759585217 0.329450110112545 -1.13718422195784 0.255461281403405 0.847608721442161 "protein_coding" "asp"
"FBgn0000146" 10.8193159341916 0.492339219638296 0.353038822140874 1.37257615738212 0.16988414823917 0.772638124570253 "protein_coding" "aub"
"FBgn0000147" 10.1984920573565 0.545698623613056 0.351838261007317 1.51130523670389 0.130710700364221 0.725160908675419 "protein_coding" "aurA"
"FBgn0000150" 7394.76004167197 0.0353210138172835 0.0912955273098975 0.386886620109594 0.698840146934381 0.979306187119893 "protein_coding" "awd"
"FBgn0000152" 110.52026734165 -0.335592088118755 0.211250770022019 -1.58965949963603 0.111911577464427 0.690626833301621 "protein_coding" "Axs"
"FBgn0000153" 16.329531495455 -0.598356104761051 0.353168954951261 -1.83729763523581 0.0661659688132469 0.585584503136765 "protein_coding" "b"
"FBgn0000163" 798.187002632534 0.0546344991626434 0.134979670632763 0.404761068297799 0.68565314845522 0.978253282293615 "protein_coding" "baz"
"FBgn0000173" 2022.32426536867 0.0328330086841286 0.11159311754772 0.294222906666608 0.76858757792136 0.985886094232454 "protein_coding" "ben"
"FBgn0000180" 69.9774411224989 -0.307312829348924 0.287292893045499 -1.06765655528048 0.285675462371438 0.868440030702915 "protein_coding" "bib"
"FBgn0000181" 7683.40876093057 -0.00554852010960344 0.0820545545817851 -0.0676387130342968 0.946073237404974 0.994328074312655 "protein_coding" "bic"
"FBgn0000182" 10.1344621497461 0.125636318542123 0.338821081474536 0.374927202452074 0.707714607671536 0.979306187119893 "protein_coding" "BicC"
"FBgn0000183" 2214.81568835519 -0.00464846648412898 0.0875226939791216 -0.0530899491412476 0.957660239583791 0.994821363561559 "protein_coding" "BicD"
"FBgn0000212" 970.809109197672 -0.20031525095437 0.112092952393937 -1.78712060380662 0.0739179980687138 0.60915476431384 "protein_coding" "brm"
"FBgn0000221" 103.948888437438 0.118646084747457 0.210228528626325 0.564373100078312 0.57250024188855 0.962662640141951 "protein_coding" "brn"
"FBgn0000228" 693.059691174808 -0.12219399748069 0.11382663853811 -1.07367055171994 0.282970364379175 0.868007229385363 "protein_coding" "Bsg25D"
"FBgn0000229" 1025.00110166649 0.207584994484129 0.107769163789333 1.92605605022183 0.0540973755626046 0.536207214042505 "protein_coding" "bsk"
"FBgn0000239" 1239.09373840814 -0.081811267177472 0.0899869436156656 -0.909207293380381 0.363240715073581 0.900120053264431 "protein_coding" "bur"
"FBgn0000241" 81.2208829016633 0.569306171120181 0.248987557995716 2.26654244847178 0.0234181912375169 0.358552428349348 "protein_coding" "bw"
"FBgn0000244" 1896.6372344273 0.0132080085536187 0.177801581391063 0.0742857384886118 0.940783024713316 0.994328074312655 "protein_coding" "by"
"FBgn0000246" 52.8780571683944 -0.117776652579803 0.240888761524688 -0.489217671294084 0.624687600047629 0.968270037189924 "protein_coding" "c(3)G"
"FBgn0000247" 922.344855217996 -0.127511437987975 0.082379528465049 -1.5479288475865 0.121639428304175 0.711175542940567 "protein_coding" "ca"
"FBgn0000250" 1782.36386869052 0.0869950816786566 0.114343528220458 0.76082144583063 0.446763723185313 0.930083467221301 "protein_coding" "cact"
"FBgn0000251" 1127.83060085979 0.317077487503578 0.214098460131554 1.48081986045101 0.138654582723739 0.736415152953103 "protein_coding" "cad"
"FBgn0000253" 21005.1172751806 -0.0595952894848338 0.10373135815765 -0.574499022954364 0.56563016152841 0.961850474107409 "protein_coding" "Cam"
"FBgn0000256" 1844.29454026402 -0.46188063766197 0.219004531921661 -2.11136450978055 0.0347409931174406 0.439534759806969 "protein_coding" "capu"
"FBgn0000257" 399.963622442241 0.0346960905247211 0.108393817882187 0.320133724650349 0.748866961273406 0.983811418646394 "protein_coding" "car"
"FBgn0000259" 1320.75018812942 -0.1682339234237 0.097049762536444 -1.7334671274931 0.0830126753505448 0.632772555318998 "protein_coding" "CkIIbeta"
"FBgn0000261" 6861.76423854847 0.0437537018928358 0.154273073082655 0.283587463040984 0.776726545886101 0.986072245396504 "protein_coding" "Cat"
"FBgn0000273" 1982.24087030741 0.0205119650386396 0.0781809881212536 0.262375343338979 0.793032080150623 0.987423291380057 "protein_coding" "Pka-C1"
"FBgn0000276" 18.4734390074873 0.117796567999534 0.35343959089552 0.300368458357753 0.76389612010492 0.985335752945825 "protein_coding" "CecA1"
"FBgn0000283" 1427.00904551166 -0.208739586848755 0.0780409201746513 -2.67497627485259 0.00747345387597553 0.207070593918162 "protein_coding" "Cp190"
"FBgn0000286" 544.341526567985 -0.177982507586528 0.108123340743195 -1.64633109644932 0.0996956106017922 0.676495578625678 "protein_coding" "Cf2"
"FBgn0000289" 1303.32864192857 -0.151208515000782 0.0778795369972622 -1.94170738313999 0.0521725344040493 0.526632382411469 "protein_coding" "cg"
"FBgn0000299" 258.453791395585 0.561320331683846 0.26676383214631 2.10724537065439 0.0350963159952064 0.441056654579625 "protein_coding" "Col4a1"
"FBgn0000307" 687.895288880016 -0.258236900156416 0.10824943964428 -2.38553788790997 0.0170541655865814 0.310801677822542 "protein_coding" "chif"
"FBgn0000308" 11219.0132690772 -0.0905260206276074 0.105960107017821 -0.854276384154203 0.392951869009189 0.910132612635449 "protein_coding" "chic"
"FBgn0000316" 543.469981557136 0.135937201827878 0.107706688333171 1.26210287747028 0.206911770001578 0.811267238718815 "protein_coding" "cin"
