"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 -0.344242866379043 0.322129576107102 -1.0645322707936 0.287087643412517 0.81092615557964 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 -0.335777050382151 0.196295048030098 -1.70139956336663 0.0888679832440105 0.580520626648358 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 -0.00956274148778093 0.303517173588143 -0.0310774761192113 0.975207752444777 0.99669509295879 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 0.299281001930366 0.35084653646137 0.901197064298963 0.367483551577338 0.858657137406809 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.0679110572201572 0.131756913411907 -0.516116539069689 0.605773017205195 0.944171554520419 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.0697206807126651 0.150965417271345 -0.46218415276355 0.643949266604079 0.95420903934905 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 0.120698839264072 0.232661116969751 0.519439408986347 0.603454355570341 0.944118801004232 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.102885794479025 0.111324222798219 0.924483084929735 0.355234854295386 0.853672609426874 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 -0.0744791960244666 0.171188228389222 -0.434912652965453 0.663625829997522 0.958093462904715 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 -0.010940036860432 0.268767320923419 -0.0403292146577643 0.9678306627908 0.995403647557631 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.198754716485308 0.248801271149008 0.794554289465772 0.426872817012969 0.889473192138854 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 0.419833099568392 0.331242864502721 1.28226934049783 0.199748179246021 0.74069460444889 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 0.0252214711090872 0.284554067912745 0.0880374768980663 0.929846889511978 0.991163245132613 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 0.0634011742926247 0.15689092568278 0.404205495080024 0.686061613229858 0.961920101522658 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.385166847492142 0.168190747467166 2.28876288527923 0.0220931330107495 0.330582664938089 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 0.352245036669785 0.274177711337959 1.28244376969201 0.199687018328908 0.74069460444889 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.191462411971468 0.342201637023115 0.558589493313502 0.576441912180934 0.938801184666949 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.0898904084914512 0.171674952400806 0.523658215959895 0.600516282624115 0.94299033482364 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.314441061368624 0.354000824891462 0.889420978719815 0.373776874438519 0.86232189108272 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.0171699840393064 0.0787152807366699 -0.218161808688821 0.827303040618645 0.980045759996668 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 0.184569045917571 0.34474181837046 0.545282607499389 0.585559164215469 0.94021589709559 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.119169432483417 0.174224558470214 0.684020192030391 0.493962415407184 0.915907716119778 "protein_coding" "amx"
