"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000008" 149.971447027269 1.41803844108646 0.204189833492552 6.93573835888067 4.04104906783807e-12 4.91704520503496e-10 "protein_coding" "a"
"FBgn0000043" 8263.80558992245 1.37528321772752 0.268858338279641 5.1666240830267 2.38359982368538e-07 6.82689311464736e-06 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.928282646845359 0.248905033388631 3.74486361322288 0.000180491798690277 0.0017178918698992 "protein_coding" "Act57B"
"FBgn0000046" 920.561092777963 1.01372703542449 0.284970256208215 3.58818087384589 0.000332993255569363 0.00283423703486886 "protein_coding" "Act87E"
"FBgn0000075" 18.2040356323414 -0.912794968925429 0.341840873959753 -2.60551530399894 0.00917361752732919 0.0402509712653537 "protein_coding" "amd"
"FBgn0000084" 561.782003636516 1.29621046600434 0.137249726250307 9.44359524339418 3.60203297921754e-21 1.77011483826075e-18 "protein_coding" "AnxB10"
"FBgn0000100" 27294.8471288338 -0.615821558196209 0.138466877492713 -4.44635108538072 8.73411627949084e-06 0.000144849811192906 "protein_coding" "RpLP0"
"FBgn0000114" 62.9600655590441 -0.920756206096343 0.352064333225525 -2.5805112815673 0.00986541328270671 0.0425662494550058 "protein_coding" "bru1"
"FBgn0000120" 23.1874550726902 -3.36530387816352 0.333674240688064 -7.86889090650629 3.57799003213231e-15 8.26044972229883e-13 "protein_coding" "Arr1"
"FBgn0000121" 10.3265187387127 -1.08101235015997 0.344228491220949 -2.84736691754225 0.00440825213267807 0.0227780023037162 "protein_coding" "Arr2"
"FBgn0000153" 16.329531495455 -1.49585680839399 0.353571957371377 -4.04052726905169 5.33311632494354e-05 0.000646601212091058 "protein_coding" "b"
"FBgn0000180" 69.9774411224989 0.770418618330722 0.287333629305947 2.68304369156257 0.00729554584213542 0.0337714322375671 "protein_coding" "bib"
"FBgn0000241" 81.2208829016633 0.836258000185431 0.258039704822427 3.27670713591595 0.0010502524467251 0.00722638695289042 "protein_coding" "bw"
"FBgn0000308" 11219.0132690772 0.586667818379595 0.106034035684554 5.53318757362908 3.14462865470776e-08 1.233672174328e-06 "protein_coding" "chic"
"FBgn0000357" 14.9986223837403 1.32103168575435 0.333952089957555 4.01588349548437 5.92235088977718e-05 0.000704420258061778 "protein_coding" "Cp18"
"FBgn0000395" 523.579965609385 1.20540578483003 0.310543171725223 3.90468067856234 9.43498810504886e-05 0.00101491340941061 "protein_coding" "cv-2"
"FBgn0000404" 135.591395032949 0.772045302747177 0.257930504496987 3.00274591532394 0.00267555710710171 0.0152327297006151 "protein_coding" "CycA"
"FBgn0000422" 134.644393662964 -1.32969814740637 0.32948273509854 -4.0232076919854 5.7410826257142e-05 0.000686930315456518 "protein_coding" "Ddc"
"FBgn0000448" 32.6734741119712 0.912128778498456 0.260092567368337 3.48410905568323 0.000493778246657351 0.00389063923125712 "protein_coding" "Hr3"
"FBgn0000449" 32.7952753826757 -1.2135416889277 0.296980387036396 -4.01287097775573 5.99847033184846e-05 0.000710757836148085 "protein_coding" "dib"
"FBgn0000463" 112.29765950488 0.843001186606647 0.233003524806655 3.61537642345726 0.000299911515464889 0.00258327843163807 "protein_coding" "Dl"
"FBgn0000473" 3402.97855667906 -1.20490439603196 0.215218821915979 -5.59121018354002 2.25492421197904e-08 9.2343102487931e-07 "protein_coding" "Cyp6a2"
"FBgn0000542" 29.6428761944615 -0.966568891874143 0.328334674948942 -2.89025258678749 0.00384932400502161 0.020545145334492 "protein_coding" "ec"
