"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 0.255984498918992 0.322281811069067 0.797450585339718 0.425189390655686 0.615700499690054 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 1.22856449693668 0.205746387343171 5.97616006420236 2.2845853881714e-09 1.15930292224763e-07 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 -0.324625706709607 0.304287093318119 -1.06802820189024 0.285507790587006 0.480408405246148 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.113035207646288 0.349624590448163 -0.307133974479165 0.758741398727492 0.867550532502622 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.149097767345537 0.130964497354151 -1.13808889556241 0.255083364473927 0.447752371043585 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 -0.046947793290277 0.150875503433483 -0.31105411900654 0.755759479808881 0.866229816008181 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.192305949802306 0.232208832445395 -0.826434347869525 0.408557745822433 0.600930005158169 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 0.143302281982425 0.11253331511951 1.27347937817374 0.202847985687732 0.386134891410061 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 0.568934174933307 0.171196265930161 3.32450468922069 0.000885757438945314 0.00653263602482812 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 1.3974734375361 0.268864568742807 5.24828612394041 1.53520732885644e-07 4.33058333218507e-06 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.714523837485128 0.248935383880813 2.8875957992325 0.0038819837179295 0.0213337739695749 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 -0.419297233680418 0.330854444307757 -1.25318683524365 0.210137719849029 0.394357931999112 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 0.840740502536646 0.285078015692242 2.98460145003168 0.00283948024635747 0.0167692770779505 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 -0.277837199096454 0.1574185412488 -1.76506800969289 0.0775523363430224 0.200990392129243 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 -0.0370965861701888 0.170454771759173 -0.218193404997038 0.827278423349401 0.905852866006973 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 -0.00375653124458513 0.274213239341873 -0.0137240524135792 0.989050134202469 0.994482134724149 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 0.0741861173720563 0.342716168961081 0.21693516497071 0.8282588724126 0.905948021577197 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 0.0939780178925619 0.172155364066008 0.545906472949208 0.585130228674008 0.744023007643907 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 0.15115271223849 0.354016402132859 0.426523688495915 0.669726290595912 0.806348726665897 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.0890158228700285 0.0786710682999625 -1.13147394902497 0.257855662113843 0.450352043913162 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 -0.747017585471606 0.34188362636438 -2.10421284574671 0.0353598844906649 0.114597403384117 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 0.127106662788079 0.174825405247372 0.727028421239967 0.467208545296087 0.649829001868851 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 0.621119605051708 0.296009164871017 2.1147771830356 0.0344489424409692 0.112229509969061 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 0.677206356461398 0.281183347920288 2.41671028085194 0.0156614771594738 0.062173134454935 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.458075052222938 0.1744467552325 2.62720191594975 0.00860902324516431 0.0394999754496802 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 1.18587218994461 0.137868921157893 8.60311182253459 7.75833196372928e-18 2.89758182181361e-15 "protein_coding" "AnxB10"
"FBgn0000097" 1280.43508111836 0.233814466865555 0.0995487117128958 2.34888211291501 0.0188298674265596 0.0714402568719166 "protein_coding" "aop"
"FBgn0000100" 27294.8471288338 -0.713517037114827 0.138483193567024 -5.1513921024585 2.58559965539295e-07 6.6874637070371e-06 "protein_coding" "RpLP0"
"FBgn0000108" 106.45628533873 -0.291421969869294 0.230275670832299 -1.26291113228123 0.206621118760621 0.390214681607589 "protein_coding" "Appl"
"FBgn0000109" 354.454553636857 0.283981462731999 0.161678413930392 1.75734545574264 0.0788589442885145 0.203118886295686 "protein_coding" "Aprt"
"FBgn0000114" 62.9600655590441 -0.663927387598007 0.35203121094071 -1.80040742816185 0.0717963287760983 0.190119773619521 "protein_coding" "bru1"
"FBgn0000115" 817.167268316576 0.0922729081504119 0.107336337898043 0.859661102756214 0.389975882254688 0.582415948162066 "protein_coding" "Arl1"
"FBgn0000116" 19965.9092425825 0.0631912330267618 0.14709246271657 0.429588203140573 0.667495219941997 0.804700176707351 "protein_coding" "Argk"
"FBgn0000117" 4128.64885174579 0.0639103180087089 0.0697147206499311 0.916739809864245 0.359278999800781 0.555832641616924 "protein_coding" "arm"
