"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 223.339652503841 0.133744864918749 0.321938445158781 0.409855450582065 0.681911986838098 0.999887177054134 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 149.971447027269 0.189473944149732 0.195234517064554 0.963807887080461 0.335142251707512 0.999887177054134 "protein_coding" "a"
"FBgn0000014" 53.3780202237608 0.207046047600052 0.304235027215845 0.685198343838511 0.493218768810864 0.999887177054134 "protein_coding" "abd-A"
"FBgn0000015" 25.4275474234905 -0.591325785086856 0.350401909214605 -1.72882014984278 0.0838412886788104 0.999887177054134 "protein_coding" "Abd-B"
"FBgn0000017" 358.507414202462 -0.019075368804848 0.131115788379348 -0.145358398008987 0.884427909321851 0.999887177054134 "protein_coding" "Abl"
"FBgn0000018" 171.176360153993 0.0173794737539261 0.150151869499815 0.115669038292033 0.907914845368919 0.999887177054134 "protein_coding" "abo"
"FBgn0000024" 727.215644923088 -0.281910727976319 0.232478265983645 -1.21368967403224 0.224866248960138 0.999887177054134 "protein_coding" "Ace"
"FBgn0000032" 436.886914271897 -0.0272973017045711 0.111448513661753 -0.244988588738424 0.806465267040728 0.999887177054134 "protein_coding" "Acph-1"
"FBgn0000042" 84799.7012740974 0.00343523157369405 0.171186771887297 0.0200548374129521 0.983999627414968 0.999887177054134 "protein_coding" "Act5C"
"FBgn0000043" 8263.80558992245 -0.0221902198085608 0.268763854581459 -0.0818932462226438 0.934731605134465 0.999887177054134 "protein_coding" "Act42A"
"FBgn0000044" 6052.34283193641 0.213758809360067 0.248829905423528 0.857187678313331 0.391341171036096 0.999887177054134 "protein_coding" "Act57B"
"FBgn0000045" 96.0505950886746 -0.210404079460305 0.331454843332584 -0.649135424106504 0.516250846726799 0.999887177054134 "protein_coding" "Act79B"
"FBgn0000046" 920.561092777963 0.172986532887665 0.284604066059 0.603323721815131 0.546293355045659 0.999887177054134 "protein_coding" "Act87E"
"FBgn0000052" 465.187493327663 0.158159781121404 0.157391749749294 1.00554718769492 0.314633439525258 0.999887177054134 "protein_coding" "Pfas"
"FBgn0000053" 507.400900092843 0.296969182241143 0.169585462249165 1.75234874764715 0.079713858587796 0.999887177054134 "protein_coding" "Gart"
"FBgn0000055" 3539.18964406832 -0.0454890340217651 0.274204612457473 -0.166302593765769 0.867918824941257 0.999887177054134 "protein_coding" "Adh"
"FBgn0000056" 20.8116250784207 -0.0976904815045269 0.342357376706442 -0.28556432342671 0.775211831797674 0.999887177054134 "protein_coding" "Adhr"
"FBgn0000057" 309.09832097687 -0.0629231604257468 0.171604007875287 -0.366668650623001 0.713866193420276 0.999887177054134 "protein_coding" "adp"
"FBgn0000063" 10.7465102400163 -0.235924934894451 0.354008464064484 -0.674082885359985 0.500258619703569 0.999887177054134 "protein_coding" "Mps1"
"FBgn0000064" 10700.8347675083 -0.0670035790247398 0.0786775052941794 -0.851618721568664 0.394425745225916 0.999887177054134 "protein_coding" "Ald1"
"FBgn0000075" 18.2040356323414 -0.165777383453561 0.344625454002391 -0.492207532153531 0.622572640286495 0.999887177054134 "protein_coding" "amd"
"FBgn0000077" 174.809397422903 -0.1140990427406 0.173969564837247 -0.655839566704663 0.511927355459247 0.999887177054134 "protein_coding" "amx"
"FBgn0000078" 31511.3400180949 -0.0957569766021194 0.296002843658331 -0.322014264458456 0.747441888148962 0.999887177054134 "protein_coding" "Amy-d"
"FBgn0000079" 83923.7897874978 -0.126379805410172 0.281180367575859 -0.446860190853395 0.654976008713044 0.999887177054134 "protein_coding" "Amy-p"
"FBgn0000083" 2250.68151456561 0.0127130199887114 0.174146431568432 0.0729218292490958 0.941868322957908 0.999887177054134 "protein_coding" "AnxB9"
"FBgn0000084" 561.782003636516 0.110338276059716 0.133060369496712 0.827425056318371 0.407996183612511 0.999887177054134 "protein_coding" "AnxB10"
"FBgn0000097" 1280.43508111836 0.0121360653080821 0.0988843444606268 0.122636850436258 0.902394672257999 0.999887177054134 "protein_coding" "aop"
