"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","DNA replication","16/35",4.17772251582782e-14,3.80172748940332e-12,9.39430127574459e-08,8.54881416092757e-06,-50.0430983365118,1541.64895850076,"DNApol-epsilon255;PCNA;Mcm7;RPA2;DNApol-alpha60;DNApol-alpha73;CG13690;dpa;CG2990;RpA-70;Mcm3;Mcm5;Mcm6;DNApol-epsilon58;DNApol-alpha180;Mcm2"
"2","Metabolism of xenobiotics by cytochrome P450","14/64",1.13672378857404e-07,2.06883729520476e-06,0.000569447176509074,0.0103639386124651,-61.4025947893995,981.824137837787,"GstD8;GstD9;GstE7;GstD7;GstE5;GstD4;GstE6;GstD5;GstD2;GstD10;GstD3;GstD1;GstS1;GstT1"
"3","AGE-RAGE signaling pathway in diabetic complications","6/31",0.00103774613537896,0.00833707544174998,0.0351976065092993,0.302350520196481,-63.3696073570677,435.393820771604,"norpA;Pi3K21B;Mtl;Ras85D;p38c;p38a"
"4","Amino sugar and nucleotide sugar metabolism","7/47",0.00201842548684165,0.0114797949564119,0.06834770397292,0.36885269364858,-57.531396623987,357.007487963267,"CG6218;Galt;Gfat2;Hex-A;nst;CG1129;Gmd"
"5","Galactose metabolism","5/37",0.0131835078866556,0.0445951083900062,0.149847661194357,0.636673189146932,-71.6459115037021,310.140007323162,"Galt;Mal-A4;Mal-A1;Hex-A;CG10638"
"6","ECM-receptor interaction","4/12",0.00084656917327667,0.00801755133677215,0.0192836232703615,0.2506871025147,-40.0335569072811,283.210137971708,"Itgbn;LanB2;mys;LanA"
"7","Mismatch repair","4/20",0.00648255559161405,0.0268142072198581,0.0739521157538363,0.36885269364858,-49.3825109807079,248.820718087933,"Msh6;PCNA;RpA-70;RPA2"
"8","Longevity regulating pathway","6/55",0.0187691219115352,0.0588962101361967,0.226739889157068,0.671838619743249,-53.88540861532,214.223716505169,"Pi3K21B;Ilp3;HDAC1;Ras85D;Atg5;Hsp70Bb"
"9","Base excision repair","4/20",0.00648255559161405,0.0268142072198581,0.0739521157538363,0.36885269364858,-40.7440663414482,205.294701374381,"DNApol-epsilon255;PCNA;Parp;DNApol-epsilon58"
"10","Glycerophospholipid metabolism","6/63",0.0340729203440836,0.0885895928946173,0.320968614875378,0.726233670814298,-58.7029505339305,198.372082662219,"CG33116;wun2;LPCAT;Dhap-at;Dgk;sws"
"11","Inositol phosphate metabolism","5/47",0.0339530112348343,0.0885895928946173,0.272000795333276,0.671838619743249,-51.57504380403,174.466909745607,"CG7956;norpA;Pi4KIIalpha;CG17028;CG17896"
"12","Alanine, aspartate and glutamate metabolism","4/29",0.0241934706217503,0.06671532807816,0.179558463136163,0.648906859863634,-45.0209450530997,167.553212733887,"Ssadh;Got1;Gfat2;AsnS"
"13","Glycerolipid metabolism","4/42",0.0774231988112331,0.167750264091005,0.376858922311847,0.729663019795278,-54.1844424748723,138.629206441313,"wun2;Dgk;CG10638;CG2767"
"14","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","3/24",0.0633233139736203,0.140546867599987,0.27316515308242,0.671838619743249,-49.6659344158142,137.053230870779,"PIG-Wb;PIG-L;PIG-O"
"15","Valine, leucine and isoleucine degradation","6/32",0.00123609297266089,0.00833707544174998,0.0395301403745851,0.302350520196481,-19.5819435225033,131.116771606007,"SCOT;CG8778;CG5044;CG8199;yip2;CG17896"
"16","Hedgehog signaling pathway","4/38",0.0574645202612197,0.134083880609513,0.313911114107235,0.726233670814298,-42.5549717404719,121.562002913857,"Roc1a;sgg;Cul1;SkpA"
"17","FoxO signaling pathway","7/65",0.0123334426301724,0.0445951083900062,0.209728339321895,0.658113064768704,-26.2191954245458,115.244921132343,"Art1;Pi3K21B;Ilp3;Ras85D;SAK;p38c;p38a"
"18","TGF-beta signaling pathway","7/41",0.000881049597447488,0.00801755133677215,0.0398703982676678,0.302350520196481,-15.8465862445467,111.471172984201,"Mad;Roc1a;Cul1;Sara;Rho1;SkpA;Rok"
"19","Nucleotide excision repair","7/39",0.000644377971099392,0.00732979942125558,0.0324682835793606,0.302350520196481,-14.5027424846402,106.554913491477,"Roc1a;DNApol-epsilon255;PCNA;RpA-70;Rad23;RPA2;DNApol-epsilon58"
"20","Glycosaminoglycan biosynthesis","2/16",0.124806058850805,0.246898942509201,0.345426002162731,0.726233670814298,-48.1597650627948,100.220195416719,"Hs2st;Hs3st-A"
"21","Fatty acid elongation","2/15",0.111950205425364,0.231533379402457,0.320042359769174,0.726233670814298,-38.6140350877193,84.5531951442739,"Baldspot;yip2"
"22","Hippo signaling pathway","11/63",2.56685817879955e-05,0.000389306823784599,0.00979438904374332,0.148548233830107,-7.44626620095132,78.708841790162,"Mad;Act5C;Act42A;jub;14-3-3epsilon;Act87E;CycE;vn;Pak;upd3;p53"
"23","Phagosome","11/89",0.000614551624323503,0.00732979942125558,0.0713888737669561,0.36885269364858,-8.98211675653381,66.4193188524902,"Itgbn;Act5C;Act42A;Rab5;sw;Mtl;mys;Act87E;Hrs;Cnx99A;betaTub60D"
"24","Sphingolipid metabolism","4/28",0.0214940781062085,0.0651987035888325,0.165983864734382,0.648906859863634,-16.2984861088404,62.58582513648,"CG33090;wun2;Spt-I;ifc"
"25","Mitophagy","3/36",0.160457360036501,0.301875824688595,0.495843937988057,0.801655555139391,-31.3523852676705,57.366307132352,"Ras85D;Atg5;IKKepsilon"
"26","Homologous recombination","2/23",0.221728559053148,0.366859979524299,0.510945298880051,0.801655555139391,-36.9427333325268,55.6468891725165,"RpA-70;RPA2"
"27","Arachidonic acid metabolism","2/17",0.137991285628491,0.267174616855163,0.370495483940523,0.729663019795278,-27.7012740873669,54.8641668057642,"GstS1;PHGPx"
"28","Fructose and mannose metabolism","4/29",0.0241934706217503,0.06671532807816,0.179558463136163,0.648906859863634,-14.1874770859779,52.8011431910255,"Hex-A;CG10638;CG1129;Gmd"
"29","Ether lipid metabolism","3/24",0.0633233139736203,0.140546867599987,0.27316515308242,0.671838619743249,-17.3283950462952,47.8177357344507,"CG33116;wun2;LPCAT"
"30","Butanoate metabolism","2/16",0.124806058850805,0.246898942509201,0.345426002162731,0.726233670814298,-22.1460023513208,46.0857041236506,"Ssadh;SCOT"
"31","SNARE interactions in vesicular transport","3/20",0.0399093644861321,0.098155464006433,0.19966364918881,0.648906859863634,-13.1496286689562,42.3568512200915,"Syx6;Gos28;Syb"
"32","Endocytosis","27/121",9.37472209113615e-14,4.26549855146695e-12,1.07164537093054e-06,4.87598643773394e-05,-1.38030565194113,41.4066496365019,"lqf;Rab5;Vps37B;Hrs;Vps2;Snx3;Snx1;cpb;cpa;Arpc3B;Arpc3A;AP-2mu;Rho1;Snx6;AP-2sigma;Hsp70Bb;Vps60;Rab10;Arpc1;ALiX;Arpc2;Past1;Vps28;CHMP2B;Arpc5;Arpc4;Sara"
"33","Glyoxylate and dicarboxylate metabolism","2/33",0.365236677341158,0.519320900594459,0.695243966808355,0.946093570277712,-37.6798545095391,37.9515151249716,"Irp-1B;Gip"
"34","Notch signaling pathway","5/22",0.00128080496393492,0.00833707544174998,0.0318254472030251,0.302350520196481,-5.43293503552315,36.1847953258928,"Gcn5;HDAC1;Psn;N;Nct"
"35","Starch and sucrose metabolism","4/33",0.0369696611835116,0.0934510879916543,0.237106258184419,0.671838619743249,-9.55494833389574,31.5089486664972,"Mal-A4;Mal-A1;Hex-A;Amyrel"
"36","Glutathione metabolism","16/77",3.09214512593349e-08,7.03463016149869e-07,0.000381928718842115,0.0103639386124651,-1.35396467171834,23.4125075384004,"GstD8;GstD9;GstE7;GstD7;GstE5;GstD4;GstE6;GstD5;GstD2;GstD10;GstD3;GstD1;RnrL;GstS1;GstT1;PHGPx"
"37","Lysine degradation","2/35",0.393009646905994,0.533789221917096,0.724391287008103,0.955356624894745,-23.8506660685502,22.2746407813092,"CG9547;CG31751"
"38","Phototransduction","6/38",0.00309594294675038,0.0148279372712781,0.0724780540380568,0.36885269364858,-3.7040151844953,21.4005505623624,"norpA;Act5C;Act42A;Act87E;inaE;Galphaq"
"39","Drug metabolism","18/96",2.35848141232243e-08,7.03463016149869e-07,0.000496549527385022,0.0103639386124651,-0.980896828493776,17.2271602417842,"GstD8;GstD9;GstE7;GstD7;dUTPase;GstE5;GstD4;GstE6;GstD5;CG6330;GstD2;GstD10;GstD3;CG8353;GstD1;RnrL;GstS1;GstT1"
"40","Pyrimidine metabolism","6/38",0.00309594294675038,0.0148279372712781,0.0724780540380568,0.36885269364858,-2.25719901877473,13.0413346934444,"RnrL;dUTPase;CG6330;NT5E-2;CG8353;Ts"
"41","Phosphatidylinositol signaling system","7/63",0.0104664404581031,0.0414106992037993,0.190377061781426,0.648906859863634,-2.73726146355909,12.480766147562,"CG7956;norpA;Pi3K21B;Pi4KIIalpha;CG17028;Dgk;CG6707"
"42","Folate biosynthesis","2/40",0.45981360069643,0.581896776224706,0.78711353203079,0.981196320750711,-15.8070175438596,12.2810107515108,"mal;CG10638"
