"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","imaginal disc eversion (GO:0007561)","3/8",0.000100745265008484,0.00318355037426809,0.00123929865073793,0.0580169313191577,-4.19405944167381,38.5975740383991,"hep;Mmp1;puc"
"2","dorsal/ventral lineage restriction, imaginal disc (GO:0007451)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-5.42023247011783,31.3326089145806,"Dl;fng"
"3","synaptic vesicle transport along microtubule (GO:0099517)","2/6",0.00222289059335904,0.0214439081118432,0.0107992657825913,0.140163442212853,-4.98639773066201,30.4616387642962,"unc-104;Liprin-alpha"
"4","carbohydrate homeostasis (GO:0033500)","8/41",3.35076170397995e-08,1.32410270624319e-05,5.83608446384768e-06,0.00322735470850776,-1.67230040576106,28.7827868106643,"hep;ktub;Uba1;Mondo;Men-b;CkIalpha;Pi3K92E;trbl"
"5","neuron maturation (GO:0042551)","7/44",1.07337356156371e-06,0.000118715115908946,7.29280859703705e-05,0.0100823078854037,-2.03882978245794,28.0231118827032,"shrb;Uba1;Dronc;shep;Stam;slmb;Drice"
"6","glucose homeostasis (GO:0042593)","7/36",2.54429805007932e-07,4.68998940564621e-05,2.3297174222575e-05,0.0051533349380336,-1.80506836458032,27.4085928062521,"ktub;Uba1;Mondo;Men-b;CkIalpha;Pi3K92E;trbl"
"7","negative regulation of glial cell proliferation (GO:0060253)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-4.63811534642471,26.8114430610539,"ago;slmb"
"8","neuron remodeling (GO:0016322)","7/44",1.07337356156371e-06,0.000118715115908946,7.29280859703705e-05,0.0100823078854037,-1.90812729016736,26.2266448130533,"shrb;Uba1;Dronc;shep;Stam;slmb;Drice"
"9","regulation of neuron projection development (GO:0010975)","6/37",5.76435333914746e-06,0.000490413445622853,0.000221240569349149,0.0222447336091053,-2.11859240678036,25.5583123231993,"trc;RhoGEF2;Akt1;Pi3K92E;Kr-h1;robo1"
"10","regulation of neuron remodeling (GO:1904799)","4/17",4.83700421771811e-05,0.00213989066591849,0.000778152926744934,0.0580169313191577,-2.46411432324205,24.4849920592752,"hdc;Pi3K92E;slmb;Fas2"
"11","negative regulation of terminal cell fate specification, open tracheal system (GO:0035155)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-4.15710259756128,24.0308641050488,"hdc;Dl"
"12","negative regulation of gliogenesis (GO:0014014)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-4.11465082521346,23.7854641543939,"ago;slmb"
"13","branching involved in open tracheal system development (GO:0060446)","9/61",5.92939272815355e-08,1.50984680152689e-05,1.15158821225522e-05,0.00424552187584758,-1.42689949467153,23.7446905265835,"CCT3;shg;apt;hdc;pnt;rhea;ago;Vha100-1;caps"
"14","epithelial cell migration (GO:0010631)","5/36",7.75397636600498e-05,0.00254562155757637,0.00141036825309318,0.0599948956892716,-2.44964321778883,23.1851863569535,"apt;pnt;Akt1;Stam;robo1"
"15","determination of digestive tract left/right asymmetry (GO:0071907)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-3.96449828036395,22.9174809099047,"shg;puc"
"16","regulation of chromosome organization (GO:0033044)","2/6",0.00222289059335904,0.0214439081118432,0.0107992657825913,0.140163442212853,-3.7271707058277,22.7690877836809,"mamo;slmb"
"17","negative regulation of cell development (GO:0010721)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-3.87124522867639,22.3784152121278,"hdc;Dl"
"18","negative regulation of lipid localization (GO:1905953)","2/8",0.00408192155379847,0.0282162827406319,0.0168949499359457,0.146999518203205,-4.04361304294315,22.244673253202,"wdb;trbl"
"19","negative regulation of nervous system development (GO:0051961)","2/8",0.00408192155379847,0.0282162827406319,0.0168949499359457,0.146999518203205,-4.01380286005633,22.0806818497484,"hdc;Dl"
"20","positive regulation of proteasomal protein catabolic process (GO:1901800)","4/27",0.000323560429159202,0.00715715669300155,0.00348819578780105,0.089719640495534,-2.71222098156256,21.795745922658,"dco;CkIalpha;slmb;trbl"
"21","small RNA loading onto RISC (GO:0070922)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-3.75179677855001,21.6879223976781,"AGO2;FBXO11"
"22","axon guidance (GO:0007411)","18/242",1.45549610949535e-09,1.60977869710185e-06,5.69992924070526e-06,0.00322735470850776,-1.06308564584513,21.6315806390559,"unc-104;ago;chif;brat;EndoGI;caps;hep;Sema2b;robo2;shg;Liprin-alpha;Wnk;pod1;ena;Fas2;robo1;bif;fog"
"23","border follicle cell migration (GO:0007298)","12/121",3.59159866069582e-08,1.32410270624319e-05,1.66789274635432e-05,0.0046117234436697,-1.24342133490844,21.3148321387761,"hep;cindr;shg;apt;Gli;Krn;rhea;Dl;ena;jar;slmb;puc"
"24","regulation of epithelial cell migration, open tracheal system (GO:2000274)","3/12",0.000381490537697064,0.00754616947146738,0.00321728239449583,0.0847217697217234,-2.68658479168265,21.1472493786219,"robo2;Stam;robo1"
"25","regulation of epithelial cell migration (GO:0010632)","3/13",0.00049140453784487,0.00833409403983226,0.00390057201716956,0.0904083966393662,-2.76422056279265,21.0585035753484,"robo2;Stam;robo1"
"26","regulation of dendrite development (GO:0050773)","5/34",5.8399679742476e-05,0.00238314051276306,0.00111990675630253,0.0580169313191577,-2.13270976276252,20.7900816335481,"unc-104;trc;Akt1;Pi3K92E;robo1"
"27","R3/R4 cell fate commitment (GO:0007464)","3/16",0.000936077007070023,0.0129412646227431,0.00645194203631341,0.116871731604635,-2.9749673438337,20.7468653787806,"bdg;pnt;Dl"
"28","regulation of retinal cell programmed cell death (GO:0046668)","2/8",0.00408192155379847,0.0282162827406319,0.0168949499359457,0.146999518203205,-3.7651740206275,20.712928002958,"Dronc;Drice"
"29","negative regulation of ERBB signaling pathway (GO:1901185)","5/34",5.8399679742476e-05,0.00238314051276306,0.00111990675630253,0.0580169313191577,-2.11301614942833,20.5981043490502,"shrb;Chmp1;Pi3K92E;Stam;Fas2"
"30","basement membrane organization (GO:0071711)","3/16",0.000936077007070023,0.0129412646227431,0.00645194203631341,0.116871731604635,-2.9293313185079,20.4286082806583,"hep;Mmp1;sktl"
"31","regulation of protein kinase B signaling (GO:0051896)","3/14",0.000619710611696204,0.00979142766480002,0.00466571435926241,0.101181962379299,-2.73357225543788,20.190869787822,"wdb;Pi3K92E;trbl"
"32","epithelial cell migration, open tracheal system (GO:0007427)","5/35",6.74481221183794e-05,0.00245730559848212,0.00125895691831807,0.0580169313191577,-2.08412162203681,20.0162204626953,"apt;pnt;Akt1;Stam;robo1"
"33","tube fusion (GO:0035146)","4/22",0.000141590004483766,0.00412101434102751,0.00179461868684853,0.0684430437122232,-2.22412864359353,19.7115068445482,"shg;hdc;ago;caps"
"34","terminal branching, open tracheal system (GO:0007430)","4/25",0.000237804361773556,0.00584470275825672,0.00271809464614778,0.0835059077399844,-2.33830711979849,19.510980124385,"CCT3;hdc;rhea;Vha100-1"
"35","R3/R4 cell differentiation (GO:0048056)","3/17",0.00112629992811382,0.0148296157201652,0.00747756279824317,0.12530582507359,-2.85732559976888,19.3978618027104,"bdg;pnt;Dl"
"36","negative regulation of epidermal growth factor receptor signaling pathway (GO:0042059)","5/35",6.74481221183794e-05,0.00245730559848212,0.00125895691831807,0.0580169313191577,-1.98697163834879,19.0831772703569,"shrb;Chmp1;Pi3K92E;Stam;Fas2"
"37","regulation of peptide secretion (GO:0002791)","2/7",0.00308662748153256,0.0237070138512154,0.013698969077643,0.140163442212853,-3.28589954566395,18.9947213453464,"Tomosyn;dimm"
"38","branch fusion, open tracheal system (GO:0035147)","4/22",0.000141590004483766,0.00412101434102751,0.00179461868684853,0.0684430437122232,-2.14116847358263,18.9762661183856,"shg;hdc;ago;caps"
"39","negative regulation of lipid storage (GO:0010888)","2/10",0.00645376836116312,0.0393884811547929,0.0241232573473825,0.173248848222111,-3.74878455396845,18.9054619327263,"wdb;trbl"
"40","response to ecdysone (GO:0035075)","4/25",0.000237804361773556,0.00584470275825672,0.00271809464614778,0.0835059077399844,-2.24981075478824,18.7725609474618,"Nup98-96;Blimp-1;Kr-h1;Trf2"
"41","homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)","4/28",0.000373834340194828,0.00754616947146738,0.00392369171671752,0.0904083966393662,-2.37542039328737,18.7460998901954,"shg;Fas2;kug;caps"
"42","morphogenesis of an epithelial fold (GO:0060571)","2/9",0.00520540390387078,0.0336677001033982,0.0203739835545152,0.155404315939957,-3.50272203730383,18.4175155624864,"RhoGEF2;fog"
"43","filopodium assembly (GO:0046847)","2/9",0.00520540390387078,0.0336677001033982,0.0203739835545152,0.155404315939957,-3.47551248864159,18.2744461779911,"unc-104;ena"
