"pvalue" "padj" "gene_biotype" "external_gene_name" "Cluster"
"FBgn0000003" 0.585147106480609 0.758295424456551 "ncRNA" "7SLRNA:CR32864" NA
"FBgn0000008" 3.22766008576371e-11 1.56961782399874e-09 "protein_coding" "a" 1
"FBgn0000014" 0.763137763190143 0.876974436296168 "protein_coding" "abd-A" NA
"FBgn0000015" 0.187519036118073 0.368293066940355 "protein_coding" "Abd-B" NA
"FBgn0000017" 0.322569309705923 0.524859728563394 "protein_coding" "Abl" NA
"FBgn0000018" 0.929224833793476 0.965402626109435 "protein_coding" "abo" NA
"FBgn0000024" 0.192302140603849 0.374197911903515 "protein_coding" "Ace" NA
"FBgn0000032" 0.272926382175155 0.473664243563089 "protein_coding" "Acph-1" NA
"FBgn0000042" 0.00228923122553331 0.0122140296873169 "protein_coding" "Act5C" 1
"FBgn0000043" 4.25184293353684e-07 7.29769438794733e-06 "protein_coding" "Act42A" 1
"FBgn0000044" 9.13790483814173e-05 0.000814905611019382 "protein_coding" "Act57B" 2
"FBgn0000045" 0.261349312603918 0.46021595807092 "protein_coding" "Act79B" NA
"FBgn0000046" 0.00131903286824487 0.00775066701749678 "protein_coding" "Act87E" 1
"FBgn0000052" 0.329633630439768 0.532950512106687 "protein_coding" "Pfas" NA
"FBgn0000053" 8.29464447545291e-05 0.000752644270819279 "protein_coding" "Gart" 3
"FBgn0000055" 0.537875305640309 0.721987022536453 "protein_coding" "Adh" NA
"FBgn0000056" 0.943799546735495 0.972547883000697 "protein_coding" "Adhr" NA
"FBgn0000057" 0.890044710476796 0.944482832546895 "protein_coding" "adp" NA
"FBgn0000063" 0.808261050608157 0.903871562646864 "protein_coding" "Mps1" NA
"FBgn0000064" 0.109839838804745 0.250140140224368 "protein_coding" "Ald1" NA
"FBgn0000075" 0.0302996060413732 0.0963909443299153 "protein_coding" "amd" 4
"FBgn0000077" 0.800977871154918 0.900292570479532 "protein_coding" "amx" NA
"FBgn0000078" 0.0812446910117035 0.201139481509307 "protein_coding" "Amy-d" NA
"FBgn0000079" 0.0976731869645441 0.229832295032245 "protein_coding" "Amy-p" NA
"FBgn0000083" 0.00560453385756413 0.0250021656130321 "protein_coding" "AnxB9" 2
"FBgn0000084" 5.97992089912066e-22 1.9940900512532e-19 "protein_coding" "AnxB10" 1
"FBgn0000097" 0.00650325698840731 0.0283081167835707 "protein_coding" "aop" 2
"FBgn0000100" 6.67917248891795e-09 1.82883969293334e-07 "protein_coding" "RpLP0" 5
"FBgn0000108" 0.300851601084743 0.503583931841859 "protein_coding" "Appl" NA
"FBgn0000109" 0.00532504087126284 0.0240354313761827 "protein_coding" "Aprt" 2
"FBgn0000114" 0.0566048275688829 0.154132188687856 "protein_coding" "bru1" NA
"FBgn0000115" 0.859210386730776 0.929923192408167 "protein_coding" "Arl1" NA
"FBgn0000116" 0.561733949351551 0.739031969155337 "protein_coding" "Argk" NA
"FBgn0000117" 0.52590031388189 0.711745358851312 "protein_coding" "arm" NA
"FBgn0000119" 0.113409421212208 0.255721908343959 "protein_coding" "arr" NA
"FBgn0000120" 5.3979837148977e-32 3.36006492973332e-29 "protein_coding" "Arr1" 4
"FBgn0000121" 0.00460946557871372 0.0214335558309014 "protein_coding" "Arr2" 4
"FBgn0000139" 0.00370105489823473 0.0178495607359596 "protein_coding" "ash2" 5
"FBgn0000140" 0.200917344306086 0.385244485069407 "protein_coding" "asp" NA
"FBgn0000146" 0.219661203473663 0.40815455857385 "protein_coding" "aub" NA
"FBgn0000147" 0.299826298858357 0.502509092163073 "protein_coding" "aurA" NA
"FBgn0000150" 0.873104377017628 0.936511625567925 "protein_coding" "awd" NA
"FBgn0000152" 0.384586102471401 0.585406005669297 "protein_coding" "Axs" NA
"FBgn0000153" 4.45034929322781e-05 0.000430154361810229 "protein_coding" "b" 5
"FBgn0000163" 0.0446618606216928 0.12958601386723 "protein_coding" "baz" NA
"FBgn0000173" 0.407391731082005 0.60823964233084 "protein_coding" "ben" NA
"FBgn0000180" 0.0402484679940129 0.119834166345695 "protein_coding" "bib" NA
"FBgn0000181" 9.03665364514844e-05 0.000808271651689323 "protein_coding" "bic" 5
"FBgn0000182" 0.648047937304843 0.804309928301917 "protein_coding" "BicC" NA
"FBgn0000183" 0.0118419513896555 0.0459361446303338 "protein_coding" "BicD" 1
"FBgn0000212" 0.120727318676499 0.267814439173787 "protein_coding" "brm" NA
