"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 331.972768333404 0.302112381003185 0.262602552339486 1.09507588821986 0.273483391093347 0.853936122757857 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 213.245822463407 0.581290871501496 0.229334257572467 2.54853689779279 0.0108175842781281 0.165869625597964 "protein_coding" "a"
"FBgn0000014" 121.407851185297 -0.148784175572945 0.229830393267728 -0.682708949283024 0.494790773607213 0.954881799675202 "protein_coding" "abd-A"
"FBgn0000015" 52.8946397583411 -0.188145851452451 0.277510920306597 -0.697923850495119 0.485224817825408 0.951220314021821 "protein_coding" "Abd-B"
"FBgn0000017" 911.142267451537 -0.245502990977189 0.139564277429477 -1.77810774173796 0.0753861612009006 0.513985555078741 "protein_coding" "Abl"
"FBgn0000018" 336.630138700783 0.0144363208708362 0.138150746045998 0.115749933290836 0.907850731140776 0.995475725194349 "protein_coding" "abo"
"FBgn0000024" 2368.96793884737 0.580518105291074 0.176675411904408 3.31215034256582 0.000925817778177037 0.0296693737313134 "protein_coding" "Ace"
"FBgn0000032" 874.227436794152 0.239501357843968 0.112937601168703 2.14663598638155 0.0318222726374914 0.321702764602357 "protein_coding" "Acph-1"
"FBgn0000042" 156658.81746325 0.0581752262235644 0.169927812109197 0.333586482115038 0.738691620218136 0.986904231561928 "protein_coding" "Act5C"
"FBgn0000043" 10825.7566788762 -0.0133983935094026 0.235882399480047 0.0834658498787455 0.933481130462716 0.996605173741768 "protein_coding" "Act42A"
"FBgn0000044" 10924.5741091043 0.0149849889858168 0.277262277378695 0.0443033046934824 0.964662637498417 0.997310916899138 "protein_coding" "Act57B"
"FBgn0000045" 124.888107881827 -0.357838250831029 0.276679307446237 -1.32616212521381 0.184786001724485 0.755971327906044 "protein_coding" "Act79B"
"FBgn0000046" 1616.72602724083 0.0279654525954631 0.262461233026897 0.0708621638417754 0.943507456522416 0.996875036655797 "protein_coding" "Act87E"
"FBgn0000052" 1063.60987513371 0.0270410021283288 0.146117695740693 0.117402802642689 0.906540863245262 0.995475725194349 "protein_coding" "Pfas"
"FBgn0000053" 1136.61216523959 0.568925122964478 0.131833307012155 4.28466128175138 1.83017803193681e-05 0.00139645488881274 "protein_coding" "Gart"
"FBgn0000055" 4227.49743724334 0.189270249796766 0.242404070024213 0.841075954172113 0.400305384989368 0.93043939233974 "protein_coding" "Adh"
"FBgn0000056" 41.6192843046433 -0.19587980957506 0.278828050197673 -0.489058132762511 0.624800541117065 0.981466125847339 "protein_coding" "Adhr"
"FBgn0000057" 718.417038240937 0.160419033106846 0.109653853433071 1.48067242970375 0.138693884221567 0.6778866308623 "protein_coding" "adp"
"FBgn0000063" 22.3719640180024 -0.13582023904748 0.271462948688895 -0.434252347603471 0.66410520350351 0.986094570582883 "protein_coding" "Mps1"
"FBgn0000064" 22442.1844486177 -0.0754147274422674 0.107850075105521 -0.690290377100592 0.490011598137797 0.953489297422302 "protein_coding" "Ald1"
"FBgn0000075" 59.2797951208538 0.21291096768143 0.26529177135896 0.63940796531711 0.522557568560337 0.961480174922098 "protein_coding" "amd"
"FBgn0000077" 304.38795294067 0.0637328241408213 0.176120022792185 0.292978732601791 0.7695384077002 0.986904231561928 "protein_coding" "amx"
"FBgn0000078" 286105.737749595 0.793318929854542 0.167788136880717 4.74260997256114 2.10982228673701e-06 0.000213099996671452 "protein_coding" "Amy-d"
"FBgn0000079" 338078.491311963 0.50775871638899 0.166359018963161 3.11468179361738 0.00184143444217631 0.048502878704337 "protein_coding" "Amy-p"
"FBgn0000083" 4196.10729588364 0.0218020685339552 0.199037639223663 0.10043161764638 0.920001669402921 0.996106482319203 "protein_coding" "AnxB9"
"FBgn0000084" 1497.45534172879 0.434175158520256 0.19746909616453 2.18524398288813 0.0288709622109892 0.305016956809286 "protein_coding" "AnxB10"
"FBgn0000092" 12.6561723639998 0.117628182168158 0.273853777885131 -0.0343240441166667 0.972618751731193 0.997982974671407 "protein_coding" "dyw"
"FBgn0000097" 2693.44757063649 0.0596307235455839 0.128088524730951 0.465553119659259 0.641535406042533 0.982920532410202 "protein_coding" "aop"
"FBgn0000100" 57876.7678250621 -0.215791868976206 0.129145458115568 -1.6617018198199 0.0965725760792139 0.589386774202256 "protein_coding" "RpLP0"
"FBgn0000108" 233.755892104827 -0.189041736686373 0.16744056966538 -1.03180040277704 0.302165630561168 0.873700299706337 "protein_coding" "Appl"
"FBgn0000109" 789.697383227538 0.13414399490386 0.10992436495399 1.25721987057146 0.208674029937017 0.78890763814962 "protein_coding" "Aprt"
"FBgn0000114" 95.5205147682167 -0.0708106333511322 0.251846248563753 0.385252153276147 0.700050606897737 0.986904231561928 "protein_coding" "bru1"
"FBgn0000115" 1326.85743075134 0.0962596314174169 0.106953171172997 0.89699595029311 0.369721077980355 0.912198790700811 "protein_coding" "Arl1"
"FBgn0000116" 46525.1033865741 -0.0455429556820215 0.161392137892107 -0.30332671732537 0.761640887222396 0.986904231561928 "protein_coding" "Argk"
"FBgn0000117" 7200.2023961243 -0.0214405140572946 0.0961358786557587 -0.213975793997756 0.830565933606558 0.992671098236023 "protein_coding" "arm"
"FBgn0000119" 1937.97216317741 -0.181092237001216 0.155075142393458 -1.15664169028282 0.247418781805928 0.826552223232136 "protein_coding" "arr"
"FBgn0000120" 68.4036790281213 -2.12494972602683 0.278749493991739 -6.69534865711558 2.15158019747059e-11 6.08390941720067e-09 "protein_coding" "Arr1"
"FBgn0000139" 808.968428272553 -0.138053418731195 0.156607251770297 -0.863910538398397 0.387637037208513 0.926206487832687 "protein_coding" "ash2"
"FBgn0000140" 62.7177729477183 -0.0309287734290376 0.2690238503208 -0.00969343109605436 0.992265882107087 1 "protein_coding" "asp"
"FBgn0000146" 14.1328877729522 0.0720042812261739 0.261451678352129 0.189794072534968 0.849470500907014 0.992671098236023 "protein_coding" "aub"
"FBgn0000147" 21.0076568680776 -0.0737180934312359 0.278381167070294 0.0134211625521912 0.989291783086789 1 "protein_coding" "aurA"
"FBgn0000150" 17565.4539299614 -0.0337548490406445 0.102812858076974 -0.321730108038691 0.747657166673468 0.986904231561928 "protein_coding" "awd"
"FBgn0000152" 270.859672391881 -0.0757596931492397 0.16845061119499 -0.437621212050703 0.661660891841068 0.986094570582883 "protein_coding" "Axs"
"FBgn0000163" 1756.46026846523 -0.00377904067814819 0.161998543584437 -0.0160511109977663 0.98719361625571 1 "protein_coding" "baz"
"FBgn0000173" 4067.59222244942 0.0119302147347978 0.0854638029899672 0.145134232010709 0.884604891181673 0.993981790647167 "protein_coding" "ben"
"FBgn0000180" 92.3099707012768 -0.371307622225576 0.243400691211584 -1.52587773416085 0.127040316797739 0.65629532815339 "protein_coding" "bib"
"FBgn0000181" 18952.6378937814 -0.149083865307323 0.121513307967548 -1.2262191624395 0.220116212049666 0.8032099042227 "protein_coding" "bic"
"FBgn0000183" 3669.65933416158 0.0832127470285851 0.106693152269418 0.77618075773063 0.437642265913506 0.93954549864456 "protein_coding" "BicD"
"FBgn0000212" 1993.72861294582 -0.0610846925824291 0.125110142853216 -0.527831889744503 0.597616021303992 0.976956372864577 "protein_coding" "brm"
"FBgn0000221" 231.112967299887 -0.0174118997398989 0.164890662935866 -0.0845359651658576 0.932630309101382 0.996605173741768 "protein_coding" "brn"
"FBgn0000228" 1502.41989469906 -0.086155137951065 0.15085358206616 -0.594557782775742 0.552139106963466 0.967469249472834 "protein_coding" "Bsg25D"
"FBgn0000229" 1694.42420473125 -0.0931327992160839 0.11298099404149 -0.838050367115764 0.402002416450419 0.93043939233974 "protein_coding" "bsk"
"FBgn0000239" 2350.15978770489 -0.0378709229126259 0.0985213922628908 -0.383630730686006 0.701252159852155 0.986904231561928 "protein_coding" "bur"
"FBgn0000241" 34.8826856086441 -0.65884879461506 0.274267710633018 -2.29482871831083 0.0217429421470919 0.25945082578048 "protein_coding" "bw"
"FBgn0000244" 4354.1163976161 0.0680551523012799 0.128425565565191 0.51407516112276 0.607199442750599 0.977109165963128 "protein_coding" "by"
"FBgn0000246" 94.5879315047733 0.143636584675169 0.216727411374518 0.787205250691099 0.431161724025883 0.93954549864456 "protein_coding" "c(3)G"
"FBgn0000247" 2056.06888697877 0.00611503323710275 0.112651885835486 0.0527768412582712 0.957909713777126 0.996923911926087 "protein_coding" "ca"
"FBgn0000250" 3428.75406538814 -0.00244725278268751 0.136100802993909 0.020147591874936 0.983925635011984 0.999519246252199 "protein_coding" "cact"
"FBgn0000251" 2029.66355343189 -0.350262466351931 0.136568418990103 -2.61048744891538 0.00904132896266296 0.146829960552435 "protein_coding" "cad"
"FBgn0000253" 38599.4990771165 -0.108377115179034 0.16023353466414 -0.698736794167047 0.484716535101125 0.951220314021821 "protein_coding" "Cam"
"FBgn0000256" 4806.30979743407 0.127963466627972 0.177513066328039 0.784010468187562 0.433033967895209 0.93954549864456 "protein_coding" "capu"
"FBgn0000257" 824.614749981412 0.090625069176354 0.108153755256204 0.830266510708138 0.406388118109239 0.932316965545874 "protein_coding" "car"
"FBgn0000259" 2455.59703356178 -0.0534123843787233 0.110332458575881 -0.483501130368745 0.628739957357321 0.98265965616685 "protein_coding" "CkIIbeta"
"FBgn0000261" 15340.8701060336 0.284142825888076 0.172496086937495 1.72072583664155 0.0853005857191475 0.548548382009287 "protein_coding" "Cat"
"FBgn0000273" 4360.55472338586 0.0578112328896679 0.105900760360489 0.552961198816917 0.580289979712484 0.973304659042347 "protein_coding" "Pka-C1"
"FBgn0000276" 18.3972167631231 0.333552342283306 0.25125803391534 2.14119290157129 0.0322584852444931 0.323729725616447 "protein_coding" "CecA1"
"FBgn0000279" 11.5319033708602 0.525178561737678 0.231036758179507 2.15083921332108 0.0314888927971253 0.320353667038691 "protein_coding" "CecC"
"FBgn0000283" 3020.35193423242 -0.0992459325793477 0.104603556699678 -0.957482037015495 0.338324008740654 0.893537181038666 "protein_coding" "Cp190"
"FBgn0000286" 1226.97442055889 -0.0698693988961572 0.129154400765475 -0.54198108232448 0.587831538151701 0.974546295231064 "protein_coding" "Cf2"
"FBgn0000289" 2646.037232048 0.0172432944912679 0.111746801578353 0.123407076538517 0.901784753641737 0.995475725194349 "protein_coding" "cg"
"FBgn0000299" 311.937256997741 0.398220363977186 0.2693030795295 1.49261623638301 0.1355376707894 0.672726158926485 "protein_coding" "Col4a1"
"FBgn0000307" 1551.9251834714 0.0641261607855636 0.130684522656603 0.476911435712572 0.633425188405872 0.982920532410202 "protein_coding" "chif"
"FBgn0000308" 20677.9742394873 0.158226981134861 0.148608096871088 1.06756805324705 0.285715400687268 0.861722589061548 "protein_coding" "chic"
