"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000078" 286105.737749595 0.793318929854542 0.167788136880717 4.74260997256114 2.10982228673701e-06 0.000213099996671452 "protein_coding" "Amy-d"
"FBgn0000120" 68.4036790281213 -2.12494972602683 0.278749493991739 -6.69534865711558 2.15158019747059e-11 6.08390941720067e-09 "protein_coding" "Arr1"
"FBgn0000357" 16.4338196607476 0.985599890666838 0.27659507403289 3.14333508536263 0.00167034507436718 0.0458819929856173 "protein_coding" "Cp18"
"FBgn0000477" 322.178457080652 0.64507470226399 0.204233685056084 3.11568018191225 0.00183521192205274 0.0484717786225689 "protein_coding" "DNaseII"
"FBgn0001285" 17174.0262201702 0.968973429589468 0.2086938988098 4.35449979057614 1.33371108189774e-05 0.00109592293515939 "protein_coding" "Jon44E"
"FBgn0001612" 258.511078743999 0.671749830729046 0.204936784169115 3.2025411676427 0.00136220828498779 0.039806293166786 "protein_coding" "Grip91"
"FBgn0002531" 82.8230584080704 3.42635562864464 0.274186651783966 10.4305749986855 1.79796945146088e-25 1.92063092292721e-22 "protein_coding" "Lcp1"
"FBgn0002564" 119.158754384329 1.30212152212048 0.279019500334177 4.30904421059112 1.63961592888111e-05 0.00127123125324702 "protein_coding" "Lsp1gamma"
"FBgn0003046" 45.5078690865013 2.93293953000663 0.278134547538585 7.92653128041463 2.2535189786294e-15 9.84787793661048e-13 "protein_coding" "Pcp"
"FBgn0003358" 71086.3052072008 0.829004046411291 0.195825396149964 4.22567089852265 2.38229945109212e-05 0.00171822368192775 "protein_coding" "Jon99Ci"
"FBgn0003390" 432.872887244485 1.00931590096627 0.208984884970301 4.75940039594012 1.94168915043973e-06 0.000198589356301357 "protein_coding" "shf"
"FBgn0003961" 95.7561160206368 -0.593880178268924 0.194718642362316 -2.86166620857586 0.00421420474828976 0.0875061867171874 "protein_coding" "Uro"
"FBgn0004045" 2799.75756251612 -0.78928315133598 0.248116743156905 -3.34224499455794 0.000831036754343773 0.0275503012284863 "protein_coding" "Yp1"
"FBgn0004426" 497.125753947127 2.2338764480125 0.187350699402386 11.8743830176171 1.60816151977292e-32 2.57681080851614e-29 "pseudogene" "LysC"
"FBgn0004607" 1938.89026533124 1.5084929563719 0.276635948236717 4.94422645267616 7.64468004529688e-07 8.54604115761444e-05 "protein_coding" "zfh2"
"FBgn0004622" 237.367266072741 0.797722070666452 0.199474032221245 4.01041004887393 6.06133894164667e-05 0.00340781944941468 "protein_coding" "TkR99D"
"FBgn0004878" 20.1823526119274 1.66991090733606 0.274155241980377 5.17647561320849 2.26116592518557e-07 2.86037489535974e-05 "protein_coding" "cas"
"FBgn0005626" 2800.28628379968 0.610301688621164 0.196773714767516 3.23270437348349 0.00122624387815418 0.0368409645142945 "protein_coding" "ple"
"FBgn0005670" 2777.5085534794 -1.93387822934978 0.169521810677753 -11.3604195205344 6.58277586840372e-30 7.91085089985417e-27 "protein_coding" "Cyp4d1"
"FBgn0010041" 798.092896742109 0.673163205466535 0.260539133484857 3.21554808852821 0.001301956792304 0.0385113176898086 "protein_coding" "GstD5"
"FBgn0010222" 332.477694985707 0.699052947537036 0.173856378311066 3.69138447067439 0.000223036699696234 0.00997337130641671 "protein_coding" "Nmdmc"
"FBgn0010358" 18867.141979852 -1.40001330042815 0.226992594331019 -6.00842266517922 1.8733693669182e-09 3.83203682841522e-07 "protein_coding" "deltaTry"
"FBgn0010359" 22049.2544624814 -2.40371345409376 0.249673658710451 -9.20565541127874 3.39592396795549e-20 2.72070108566034e-17 "protein_coding" "gammaTry"
"FBgn0011576" 929.65660473127 0.678275798945901 0.170883052009055 3.95128845049605 7.77315664357742e-05 0.00429489241214674 "protein_coding" "Cyp4d2"
"FBgn0011834" 7510.89417463301 1.66753329242393 0.233897004993708 7.06079947990218 1.65547342757608e-12 5.48817983886773e-10 "protein_coding" "Ser6"
"FBgn0013323" 40.3798412585912 -1.03316697112364 0.273162991707945 -3.83725728340327 0.000124416103730829 0.00646560227712536 "protein_coding" "Ptth"
"FBgn0015001" 5748.08176207561 -0.665213799312534 0.147393768224306 -4.57049694937059 4.86569005353073e-06 0.000467787441746444 "protein_coding" "iotaTry"
"FBgn0015010" 7363.89287504362 0.838565683195759 0.186819369943888 4.36072424949174 1.29632649850391e-05 0.00107438646177729 "protein_coding" "Ag5r"
"FBgn0015037" 1574.07310567615 -0.703922524769638 0.197772827964355 -3.55863534013926 0.000372786684072312 0.0146884064781607 "protein_coding" "Cyp4p1"
"FBgn0015316" 2505.04936158167 -0.924022796884624 0.276131882142145 -3.35913543305994 0.000781867391201224 0.0266555783652786 "protein_coding" "Try29F"
"FBgn0015904" 484.695620904748 0.730187820659606 0.226973216791182 3.16168474987888 0.00156859279523419 0.0438385207365741 "protein_coding" "ara"
"FBgn0019928" 1675.12997317946 1.43995685812091 0.258882472806376 5.83883961261197 5.25656420288244e-09 9.90913887186505e-07 "protein_coding" "Ser8"
"FBgn0020508" 17442.5421859746 1.08127799739709 0.190003375117194 5.43105067030839 5.60232230146922e-08 8.54932168354366e-06 "protein_coding" "Ag5r2"
"FBgn0022774" 174.855856874852 0.797589019929245 0.216986204866326 3.75549420360561 0.000172999765258982 0.00827472509054652 "protein_coding" "Oat"
"FBgn0023479" 106.260571641455 -0.660474151407895 0.266416022077894 -2.81113405812763 0.0049367212108839 0.0980612349616484 "protein_coding" "teq"
"FBgn0023550" 26.7316158027748 -0.816740884441707 0.272571280091737 -2.9209543792425 0.00348960922533255 0.077480607603573 "protein_coding" "FarO"
"FBgn0024995" 201.675677479755 -0.906105489125174 0.272049427198363 -3.06065229552144 0.00220855408465027 0.0551507505709809 "protein_coding" "CG2680"
"FBgn0025726" 1491.64755783932 -1.40142100704466 0.197974240658088 -6.94225088469522 3.85901073675166e-12 1.23668430743768e-09 "protein_coding" "unc-13"
"FBgn0026403" 241.268567160144 0.754388693684659 0.195736030826186 3.80538400253748 0.000141584357297195 0.00720207413256737 "protein_coding" "Ndg"
