"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 331.972768333404 0.0551478364466814 0.261671526135308 0.247639940406035 0.804413005066388 0.999625222717038 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 213.245822463407 -0.319466162113185 0.228210466327013 -1.32811907196198 0.184138773845775 0.999625222717038 "protein_coding" "a"
"FBgn0000014" 121.407851185297 -0.0351160441215378 0.230169396869764 -0.0141859273761252 0.988681647185756 0.999625222717038 "protein_coding" "abd-A"
"FBgn0000015" 52.8946397583411 -0.03878747044684 0.275743818572698 0.311570647116284 0.755366844722166 0.999625222717038 "protein_coding" "Abd-B"
"FBgn0000017" 911.142267451537 -0.123394742327136 0.142022884511366 -0.837530804676708 0.402294269116025 0.999625222717038 "protein_coding" "Abl"
"FBgn0000018" 336.630138700783 0.0703638374001157 0.140610492753561 0.478472775072081 0.632313747027665 0.999625222717038 "protein_coding" "abo"
"FBgn0000024" 2368.96793884737 0.19329838992768 0.17855545810553 1.13183769338384 0.257702677475988 0.999625222717038 "protein_coding" "Ace"
"FBgn0000032" 874.227436794152 0.149959228629384 0.115002128162719 1.31197831270363 0.189527452116934 0.999625222717038 "protein_coding" "Acph-1"
"FBgn0000042" 156658.81746325 -0.0423176088564185 0.172106510457049 -0.277845774667229 0.781130750949545 0.999625222717038 "protein_coding" "Act5C"
"FBgn0000043" 10825.7566788762 -0.0685849790830669 0.236254810732418 -0.226260383224512 0.820998909025597 0.999625222717038 "protein_coding" "Act42A"
"FBgn0000044" 10924.5741091043 0.111306554665475 0.275558507025721 0.604736137102744 0.545354332955084 0.999625222717038 "protein_coding" "Act57B"
"FBgn0000045" 124.888107881827 -0.316226548753797 0.27516136880195 -0.896936934592827 0.369752570113175 0.999625222717038 "protein_coding" "Act79B"
"FBgn0000046" 1616.72602724083 0.0561086749179133 0.260988547061178 0.34482908696098 0.730222864512894 0.999625222717038 "protein_coding" "Act87E"
"FBgn0000052" 1063.60987513371 0.115428331956331 0.14856965461467 0.69442545977914 0.487415431840355 0.999625222717038 "protein_coding" "Pfas"
"FBgn0000053" 1136.61216523959 0.392827328617494 0.133896049816856 2.9231872062213 0.00346468138861373 0.143575202026433 "protein_coding" "Gart"
"FBgn0000055" 4227.49743724334 0.517629550868042 0.242526675216315 2.31295994431756 0.0207248415268721 0.433249152014761 "protein_coding" "Adh"
"FBgn0000056" 41.6192843046433 0.655990895094369 0.277158016336112 2.59300854789049 0.00951404059079419 0.26839130649475 "protein_coding" "Adhr"
"FBgn0000057" 718.417038240937 0.073383539473756 0.111610135239368 0.659413633217881 0.509630189894799 0.999625222717038 "protein_coding" "adp"
"FBgn0000063" 22.3719640180024 0.00297552428940552 0.270402240128423 0.0100758978180555 0.991960732724359 0.999625222717038 "protein_coding" "Mps1"
"FBgn0000064" 22442.1844486177 -0.068855714249369 0.110213389098136 -0.600589269960436 0.548113586442727 0.999625222717038 "protein_coding" "Ald1"
"FBgn0000075" 59.2797951208538 0.311951434892399 0.264238155571873 1.0864497684844 0.277280053021534 0.999625222717038 "protein_coding" "amd"
"FBgn0000077" 304.38795294067 0.0751882860911591 0.178099731000865 0.303447318319313 0.761548989675905 0.999625222717038 "protein_coding" "amx"
"FBgn0000078" 286105.737749595 0.478759350409737 0.169997751717415 2.74777181394632 0.00600017514524469 0.203917941342805 "protein_coding" "Amy-d"
"FBgn0000079" 338078.491311963 0.194677257720972 0.168588834166317 1.19671805893398 0.23141646574885 0.999625222717038 "protein_coding" "Amy-p"
"FBgn0000083" 4196.10729588364 0.0671243575263212 0.2006035859536 0.346051584697015 0.729303947837802 0.999625222717038 "protein_coding" "AnxB9"
"FBgn0000084" 1497.45534172879 -0.115201197649288 0.198845253991937 -0.612227104678166 0.540387510925411 0.999625222717038 "protein_coding" "AnxB10"
"FBgn0000092" 12.6561723639998 0.562387521439861 0.271219436012281 1.62172291960603 0.104862689050015 0.937813853513348 "protein_coding" "dyw"
"FBgn0000097" 2693.44757063649 0.112581105257119 0.130510980053509 0.903280746398649 0.366376912391953 0.999625222717038 "protein_coding" "aop"
"FBgn0000100" 57876.7678250621 -0.0562899053902633 0.131617445796952 -0.398716032609633 0.690102453110956 0.999625222717038 "protein_coding" "RpLP0"
"FBgn0000108" 233.755892104827 -0.0311151482685255 0.169893011429696 -0.082208034470735 0.93448128448999 0.999625222717038 "protein_coding" "Appl"
"FBgn0000109" 789.697383227538 -0.0479967974151615 0.111765199150574 -0.425663546734507 0.670353028195229 0.999625222717038 "protein_coding" "Aprt"
"FBgn0000114" 95.5205147682167 -0.175626108592665 0.248867454160298 0.47007251608919 0.638303209280951 0.999625222717038 "protein_coding" "bru1"
"FBgn0000115" 1326.85743075134 -0.0297652583116769 0.109074047265062 -0.305982035985343 0.759618323439093 0.999625222717038 "protein_coding" "Arl1"
"FBgn0000116" 46525.1033865741 -0.0377236808780136 0.16368452015859 -0.216679117711252 0.828458423047108 0.999625222717038 "protein_coding" "Argk"
"FBgn0000117" 7200.2023961243 -0.0254932422963448 0.0983617665574958 -0.253475971500679 0.799900426964586 0.999625222717038 "protein_coding" "arm"
"FBgn0000119" 1937.97216317741 -0.180664863113941 0.157403271908209 -1.13969269866328 0.254414350076213 0.999625222717038 "protein_coding" "arr"
"FBgn0000120" 68.4036790281213 -0.248590842618395 0.276808022356114 -1.50463249243088 0.132418587772781 0.999625222717038 "protein_coding" "Arr1"
