"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000357" 16.4338196607476 1.22928572530348 0.274746046280811 4.34663528369193 1.38241800616551e-05 0.00237331548415628 "protein_coding" "Cp18"
"FBgn0000422" 379.786103868585 0.830440167914182 0.230517743287596 3.48180431705075 0.000498047504602601 0.0317101239023139 "protein_coding" "Ddc"
"FBgn0000557" 28.1277600834708 0.827669212364473 0.273557706144572 3.30572718167516 0.000947302745804864 0.0548636662540239 "protein_coding" "eEF1alpha2"
"FBgn0001142" 3419.95190873261 0.630082258484078 0.124618591216705 4.95183870830737 7.35155264773998e-07 0.000191021154473979 "protein_coding" "Gs1"
"FBgn0001208" 32.3730257366808 -1.01361739864708 0.273964214968295 -3.07342461587223 0.00211617145412872 0.0982844075362008 "protein_coding" "Hn"
"FBgn0001285" 17174.0262201702 0.778609483956787 0.209991622073929 3.19377746506082 0.00140424319382048 0.0725827637924198 "protein_coding" "Jon44E"
"FBgn0001612" 258.511078743999 0.677447323840753 0.20599222871773 3.24074734331627 0.00119216796673545 0.0649729366682445 "protein_coding" "Grip91"
"FBgn0002531" 82.8230584080704 3.30858788860486 0.27229692716548 10.1941390560684 2.10602194809873e-24 6.74909833634038e-21 "protein_coding" "Lcp1"
"FBgn0002564" 119.158754384329 1.09878678769887 0.277373247772141 3.25884759135228 0.00111865746396281 0.0628934085294646 "protein_coding" "Lsp1gamma"
"FBgn0002609" 441.837207874459 -0.743680753703452 0.230563606136998 -3.21731313979282 0.00129397285308071 0.0683530495028456 "protein_coding" "E(spl)m3-HLH"
"FBgn0002732" 214.846189456884 -0.873730149614019 0.235780601283662 -3.68599859148285 0.000227807609977886 0.0185605284943 "protein_coding" "E(spl)malpha-BFM"
"FBgn0002733" 259.926026338457 -0.854309092739935 0.230334245408137 -3.72860349548311 0.000192543830296161 0.0168283307678845 "protein_coding" "E(spl)mbeta-HLH"
"FBgn0003046" 45.5078690865013 2.73622091852271 0.276853234626573 7.40176948268683 1.34381633765066e-13 1.2720386260681e-10 "protein_coding" "Pcp"
"FBgn0003082" 889.888004269883 -0.825064170127205 0.123357324923045 -6.63566677391041 3.23038887770196e-11 2.07046391134844e-08 "protein_coding" "phr"
"FBgn0003358" 71086.3052072008 0.695507888766231 0.197481321644132 3.40754756033416 0.000655494839337424 0.0403773237771251 "protein_coding" "Jon99Ci"
"FBgn0004045" 2799.75756251612 -1.61178729269456 0.247915976889801 -6.11482478607816 9.66631101057262e-10 4.64659570278226e-07 "protein_coding" "Yp1"
"FBgn0004047" 2320.25289816256 -0.82285354314938 0.244627031444426 -3.07811184655955 0.00208316713283114 0.0976954576343345 "protein_coding" "Yp3"
"FBgn0004607" 1938.89026533124 1.35407134722015 0.274942898603862 4.18986722647392 2.79117727277814e-05 0.00367594223294371 "protein_coding" "zfh2"
"FBgn0004646" 428.183591648316 0.659898477029231 0.158144984782459 4.06575205073493 4.78778177896252e-05 0.00529460185051386 "protein_coding" "ogre"
"FBgn0005391" 1681.85043224947 -1.38829463135729 0.259737318126578 -5.00323420759931 5.63763779937824e-07 0.000150556249453396 "protein_coding" "Yp2"
"FBgn0005626" 2800.28628379968 0.720561082614957 0.198446485688835 3.49060613099714 0.000481926157055547 0.0314484845110388 "protein_coding" "ple"
"FBgn0010358" 18867.141979852 1.04438592164551 0.227764360934622 4.35895685920445 1.30683868992222e-05 0.00230806847902005 "protein_coding" "deltaTry"
"FBgn0010549" 78.4231556130451 -0.93330331711159 0.250915317968286 -3.903036318473 9.49934418637832e-05 0.00962781581542542 "protein_coding" "l(2)03659"
"FBgn0010622" 696.546102037479 -0.701726560446414 0.121399662699203 -5.80689920877658 6.36404202509433e-09 2.59483139586809e-06 "protein_coding" "DCTN3-p24"
"FBgn0011674" 878.118742639544 -0.610914840569343 0.150559965184361 -4.04653821103752 5.19806428513312e-05 0.00567888523150793 "protein_coding" "insc"
"FBgn0011676" 27.3594155328458 -0.792312163554141 0.275073017484877 -3.11044979723195 0.00186802646653654 0.089349285817325 "protein_coding" "Nos"
"FBgn0011834" 7510.89417463301 1.31101449682699 0.234318935879013 5.34988186647223 8.80116638320763e-08 2.72949721316639e-05 "protein_coding" "Ser6"
"FBgn0013307" 23.2588925290877 -0.995398349685947 0.263493977227705 -3.41273778634044 0.000643137915097009 0.0402782722438383 "protein_coding" "Odc1"
"FBgn0013323" 40.3798412585912 -1.06587706636766 0.271728362275564 -3.94863101003269 7.85993965671915e-05 0.00812531826448365 "protein_coding" "Ptth"
"FBgn0015035" 48.0696036624542 0.990583791958662 0.258660613362181 4.44396786823588 8.83147999145603e-06 0.00160199714411053 "protein_coding" "Cyp4e3"
"FBgn0015037" 1574.07310567615 0.811728085300291 0.19995344700923 3.90267216991284 9.5136519915271e-05 0.00962781581542542 "protein_coding" "Cyp4p1"
"FBgn0015380" 378.725549378254 0.764848461065143 0.228833101445645 3.17697153665785 0.00148821641163094 0.0753062357595404 "protein_coding" "drl"
"FBgn0019952" 783.134690825779 0.663887901645534 0.171556747823556 3.77701560954024 0.000158718787721201 0.0145325945252536 "protein_coding" "Orct"
"FBgn0020508" 17442.5421859746 0.791607930915683 0.191786648392232 3.58318498163479 0.000339430053785131 0.0243602446187119 "protein_coding" "Ag5r2"
"FBgn0021776" 571.073221473605 -0.607040155805392 0.167869149503295 -3.58329533344422 0.000339286625888147 0.0243602446187119 "protein_coding" "mira"
"FBgn0023479" 106.260571641455 -1.1010705076276 0.264814523880665 -4.03373461077851 5.48973167094288e-05 0.00593014385218481 "protein_coding" "teq"
"FBgn0027538" 2307.88620650913 -0.665546688383712 0.15450124451981 -4.3316267764125 1.48011683550548e-05 0.00241183784009316 "protein_coding" "beta4GalNAcTA"
"FBgn0027586" 990.281522044103 0.69657046095091 0.147719932244635 4.48391308922189 7.32865212298011e-06 0.00138152277471237 "protein_coding" "CG5867"
"FBgn0027608" 138.560698991179 -0.754568437275181 0.238996108794394 -3.25263544874732 0.00114340086431478 0.0639107901716412 "protein_coding" "CG2082"
"FBgn0028424" 2325.25435812995 0.621183376458526 0.147663901730095 4.33887677306419 1.43212791721371e-05 0.00237387548208494 "protein_coding" "JhI-26"
"FBgn0028490" 832.260114113805 1.39950743506704 0.178392554608225 7.71066819060575 1.25160685996481e-14 1.33699426130019e-11 "protein_coding" "CG31705"
"FBgn0028526" 80.4373733617828 -1.15297432404387 0.277200361518691 -3.7660266150309 0.000165866118627322 0.0150437440045573 "protein_coding" "CG15293"
"FBgn0028562" 593.227457441142 0.77343592902574 0.19577294105151 3.80841723923906 0.000139859139679324 0.0132629678501447 "protein_coding" "sut2"
"FBgn0029710" 93.6465117847115 1.16954353919306 0.238634632366832 4.72315794067414 2.32210370258176e-06 0.000519179185967932 "protein_coding" "CG3568"
"FBgn0029799" 75.9072800399834 -1.5711160046402 0.2420103362183 -6.08699333928268 1.1505075484581e-09 5.26713312898866e-07 "protein_coding" "CG15772"
"FBgn0029800" 325.122732036555 -0.74465332126303 0.196146173346648 -3.63943286603555 0.00027323915920664 0.0213570835496962 "protein_coding" "lin-52"
"FBgn0030271" 145.791193642016 -1.38085910867139 0.272948848538843 -4.29755258725777 1.72694298289073e-05 0.00262288366321453 "protein_coding" "CG15202"
"FBgn0030425" 25.9956786382204 -1.29588453501481 0.275129897814146 -4.16757321566171 3.07859645530708e-05 0.0039463501761763 "protein_coding" "Nep6"
"FBgn0030593" 5788.87094944741 0.840211676578352 0.238005390741723 3.70661375309151 0.00021004891446243 0.0180304487825161 "protein_coding" "CG9512"
"FBgn0030693" 4283.15444634437 -0.639169087548511 0.109223008580021 -5.80393519974451 6.47763194308655e-09 2.59483139586809e-06 "protein_coding" "CG8974"
"FBgn0030836" 642.824624142357 0.705568966516366 0.247708583251578 3.11619654788927 0.00183200122337831 0.0885068329726588 "protein_coding" "CG8664"
"FBgn0030955" 3205.34943075426 -0.678028263777102 0.189438602058742 -3.48400697313743 0.000493966618061095 0.0316599671069291 "protein_coding" "CG6891"
"FBgn0031116" 120.417887142043 -1.94486073425033 0.26702119309376 -6.45661289295721 1.07072315547787e-10 5.71885134264678e-08 "protein_coding" "CG1695"
"FBgn0031267" 759.109059164186 -0.846142883713307 0.15142114362132 -5.40987310187194 6.30694232766597e-08 2.02116478460602e-05 "protein_coding" "Ipk2"
"FBgn0031305" 26.6944578904084 -1.16220719227778 0.271343599452173 -4.15141513087023 3.30425795333419e-05 0.00407270973889166 "protein_coding" "Iris"
"FBgn0031538" 38.7961029822663 -0.962951076158751 0.277121404221604 -3.06692542881706 0.00216272804229421 0.0994854899455336 "protein_coding" "CG3246"
"FBgn0031695" 1287.16898595598 -0.857244255184661 0.182457915043879 -4.53876093505471 5.65857438972927e-06 0.00118264204745342 "protein_coding" "Cyp4ac3"
"FBgn0031701" 33.6472737242131 2.72972537879781 0.276565040319158 7.76855384162824 7.93872603618351e-15 9.54036401398353e-12 "protein_coding" "TotM"
"FBgn0031737" 125.624497351231 -0.948372227414962 0.220360127107082 -4.221985898014 2.42159263771491e-05 0.00332588451699874 "protein_coding" "obst-E"
"FBgn0031741" 12929.7074537899 -0.721029022436957 0.166966679034763 -4.2946101351063 1.75000590391867e-05 0.00262288366321453 "protein_coding" "CG11034"
"FBgn0031745" 563.018768095089 0.76017107816452 0.233942154169391 3.14731085626193 0.00164779676356161 0.0820824771237376 "protein_coding" "rau"
"FBgn0031835" 116.209093988499 0.925403363869125 0.213450937144406 4.28007604836298 1.86829462178651e-05 0.00272148249906902 "protein_coding" "CG11319"
"FBgn0031876" 176.578310432353 0.590679321583347 0.176960963681598 3.23922090185033 0.00119856705472312 0.0649729366682445 "protein_coding" "Atac1"
"FBgn0031910" 7771.00551921274 0.746628180001379 0.140186525675663 5.19035367065905 2.09895018250062e-07 6.3060334545503e-05 "protein_coding" "CG15818"
"FBgn0031913" 10666.8305286575 0.589251502544029 0.132525951024745 4.35669587630389 1.32040530836387e-05 0.00230806847902005 "protein_coding" "CG5958"
"FBgn0031945" 498.386102107723 0.726531645606652 0.178441076568313 3.65098350510892 0.00026123801926503 0.0205864124361803 "protein_coding" "CG7191"
"FBgn0031970" 234.050260078364 1.38297080886039 0.190855573018648 6.95238526833014 3.5916091080404e-12 2.46640928319289e-09 "protein_coding" "CG7227"
"FBgn0031971" 302.542745852293 -0.612268929017393 0.183668167287319 -3.27449490998756 0.00105851046050061 0.0602160921139224 "protein_coding" "Sirup"
"FBgn0032029" 1565.43905650607 0.718624819592752 0.137720740496659 5.08640731215745 3.64909928375331e-07 0.000100235544325727 "protein_coding" "CG17292"
"FBgn0032049" 338971.649243052 0.640664554466684 0.16622774630187 3.74508870150473 0.000180330051682645 0.016052714045157 "protein_coding" "Bace"
"FBgn0032076" 5619.50241379828 0.95169967205145 0.110444016848273 8.63023421411952 6.12264686057092e-18 1.17726253835058e-14 "protein_coding" "Argl"
"FBgn0032140" 405.329572838492 0.860136547409393 0.200625975079785 4.3145855255779 1.599026213207e-05 0.00252017016619215 "protein_coding" "CG13117"
"FBgn0032161" 472.31913316589 -0.762136574226603 0.207388593237799 -3.54114296303216 0.000398397647820755 0.0277550361315126 "protein_coding" "CG4594"
"FBgn0032187" 6800.37915376541 -0.683741785748949 0.120269312669225 -5.6612481792511 1.50275906749358e-08 5.35093543514196e-06 "protein_coding" "CG4839"
"FBgn0032338" 94.4859258834494 -0.604324500090833 0.260978616356366 -3.74959649930065 0.000177119330987956 0.0159142546553104 "protein_coding" "CG16854"
"FBgn0032362" 70.1271969851936 -2.29428957302765 0.265033019898161 -7.93224915728542 2.15212108995465e-15 3.44841535980399e-12 "protein_coding" "spz4"
"FBgn0032494" 451.115628915582 0.869383125367266 0.2552629373016 3.23027093094588 0.0012367296258192 0.0662440473438574 "protein_coding" "CG5945"
"FBgn0032663" 97.9250970029431 1.08973678196647 0.250168652268427 4.10455322376663 4.0509700294557e-05 0.00463643165037942 "protein_coding" "CG15153"
"FBgn0032701" 757.755071220351 1.28487555146886 0.213167229912056 5.94818093098023 2.71138795105336e-09 1.18487653461032e-06 "protein_coding" "CG10341"
"FBgn0032773" 51.0212005220981 -0.93615076300644 0.275683357506434 -3.06803347005566 0.00215472482936854 0.0994854899455336 "protein_coding" "fon"
"FBgn0032820" 1634.61925395757 0.651757994829516 0.191431405446873 3.68883058358147 0.000225287165284582 0.0185120581798801 "protein_coding" "fbp"
"FBgn0032821" 973.596715290927 1.07431865575605 0.176098755721938 5.76926364395423 7.96186603649151e-09 2.94405307980113e-06 "protein_coding" "CdGAPr"
"FBgn0032857" 302.91956662427 0.644849202773942 0.2052747931767 3.22316302364396 0.00126783374879021 0.0673422854191663 "protein_coding" "CG10947"
"FBgn0032864" 372.037354909964 -0.798383345674715 0.183234947621734 -4.22907861247593 2.34650348224229e-05 0.00326946151859093 "protein_coding" "CG2493"
"FBgn0033312" 48.7890208028012 -2.82764580347529 0.271854201568642 -7.39117019800682 1.45542176895664e-13 1.2720386260681e-10 "protein_coding" "CG8642"
"FBgn0033327" 7794.18646043063 0.973312358686186 0.276391294880515 3.3190221272281 0.000903332711257586 0.0529551261343319 "protein_coding" "PGRP-SC1b"
