"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000008" 213.245822463407 1.0586149520594 0.24387136357187 4.50502808738428 6.63641641369383e-06 0.000455732195723232 "protein_coding" "a"
"FBgn0000043" 10825.7566788762 1.21954474734398 0.248483539064503 5.33273374551226 9.6745114390654e-08 1.34798192717645e-05 "protein_coding" "Act42A"
"FBgn0000084" 1497.45534172879 1.00351943685615 0.212876502713047 4.77933673074376 1.75874425200823e-06 0.00014208880032611 "protein_coding" "AnxB10"
"FBgn0000120" 68.4036790281213 -0.846280624016745 0.274836805886783 -3.24662166792429 0.00116783519376631 0.0290118024621946 "protein_coding" "Arr1"
"FBgn0000140" 62.7177729477183 0.932160467387713 0.27522300984914 4.0198600810166 5.82327156584142e-05 0.002827521860303 "protein_coding" "asp"
"FBgn0000395" 668.791098389089 0.775572954555076 0.263674330421732 3.14550300560284 0.0016580149131379 0.0375483531202599 "protein_coding" "cv-2"
"FBgn0000404" 263.932717414637 1.13615064317398 0.246092054548884 4.99409024769673 5.91137523157204e-07 6.17738711699278e-05 "protein_coding" "CycA"
"FBgn0000405" 119.965399720511 0.908745991386022 0.266956582686306 3.91927692192349 8.88150224424799e-05 0.00412496437566185 "protein_coding" "CycB"
"FBgn0001086" 47.4360412058006 0.678791931545566 0.277074930434953 3.12924650078207 0.00175255219300946 0.0390995168741598 "protein_coding" "fzy"
"FBgn0001089" 19978.7619681781 -0.74170445901977 0.19524356001106 -3.67462871330599 0.000238195542513588 0.00880773825279089 "protein_coding" "Gal"
"FBgn0001124" 12616.1691040604 -0.692330660442407 0.144872050739183 -4.72766242745284 2.27119364514795e-06 0.0001760907718101 "protein_coding" "Got1"
"FBgn0001257" 1694.04808831874 0.803078126426298 0.267915507847685 3.7149688422347 0.000203228734402285 0.00775333751009353 "protein_coding" "ImpL2"
"FBgn0001330" 537.088700132823 -0.629588587924358 0.216349738413862 -2.97748554354944 0.00290623349925703 0.0563317114150345 "protein_coding" "kz"
"FBgn0002466" 93.7991733914905 1.32676954623112 0.271118532032407 5.47914028930443 4.27397394744497e-08 6.62741702108644e-06 "protein_coding" "sti"
"FBgn0002531" 82.8230584080704 2.55888457891407 0.27544128607909 7.34491584665661 2.0588859723557e-13 9.89706486911386e-11 "protein_coding" "Lcp1"
"FBgn0002609" 441.837207874459 0.593006025411025 0.24435446687518 2.74370413376083 0.00607502639308307 0.0932992072573492 "protein_coding" "E(spl)m3-HLH"
"FBgn0002868" 20848.0101149155 0.736340901156923 0.223208085338609 3.1792520913383 0.0014765561427406 0.0344553659133693 "protein_coding" "MtnA"
"FBgn0002869" 432.969069547384 0.719073149076713 0.267699442482886 3.08741569389438 0.00201905033600104 0.0435227576912871 "protein_coding" "MtnB"
"FBgn0002873" 109.216641485073 0.755566072768675 0.273399360906391 3.17511100171364 0.00149779193521542 0.0348662752183076 "protein_coding" "mud"
"FBgn0003023" 28.642912913803 -1.10412310964418 0.277570082893205 -3.71214006735645 0.000205514197241349 0.00779180574355297 "protein_coding" "otu"
"FBgn0003046" 45.5078690865013 2.75134976974066 0.27344010979161 6.48630081497355 8.79694448898228e-11 2.58757276515708e-08 "protein_coding" "Pcp"
"FBgn0003082" 889.888004269883 -0.799602304199583 0.133169224061746 -5.9664898703492 2.4241178030255e-09 5.17899301295271e-07 "protein_coding" "phr"
"FBgn0003091" 131.338542923809 -0.608251685701558 0.226209449614369 -2.82193963197128 0.00477341617261286 0.0787163346200687 "protein_coding" "Pkc53E"
"FBgn0003124" 121.279237099211 0.947299384241577 0.271720678076896 3.90193290045576 9.54276133190027e-05 0.00434806196421276 "protein_coding" "polo"
"FBgn0003301" 1088.14509395821 -0.726441810542518 0.225842707062795 -3.15591115425819 0.00159997588449951 0.0363644637200432 "protein_coding" "rut"
"FBgn0003386" 349.475667409684 0.70291513820539 0.245104710521649 2.87053268691745 0.00409780827657882 0.0704245575499239 "protein_coding" "Shaw"
"FBgn0003390" 432.872887244485 0.668858977984075 0.223150107092485 2.8149896848989 0.0048778799548318 0.0800264502853094 "protein_coding" "shf"
"FBgn0003483" 25.8627724786312 0.823267587893649 0.274790193890593 3.28985412076328 0.00100239336197745 0.0260459723839223 "protein_coding" "spn-E"
"FBgn0003486" 31.3106491272317 1.2606121849747 0.268368569249449 3.39865941099526 0.000677169870112914 0.0197282155492895 "protein_coding" "spo"
"FBgn0003888" 6076.58720385537 0.760672366401938 0.277146903703711 3.83883787898176 0.000123618016629293 0.00534642344105899 "protein_coding" "betaTub60D"
"FBgn0003979" 16.5996814255709 -1.05659916173053 0.259880752691229 -3.03475649439333 0.00240729962142288 0.0497946181565182 "protein_coding" "Vm26Aa"
"FBgn0003984" 163.89130839915 1.06243178636018 0.267936478568137 4.2291405855766 2.34585725542954e-05 0.001334501281284 "protein_coding" "vn"
"FBgn0004108" 186.261748236562 0.865726157419064 0.245087145415031 3.72506282614999 0.000195266583950587 0.0075393290686785 "protein_coding" "Nrt"
"FBgn0004362" 1121.62900966281 0.701100572795542 0.207755243619067 3.42352435502006 0.00061814712327174 0.0183989673162059 "protein_coding" "HmgD"
"FBgn0004378" 110.646353111079 1.13322494653563 0.238057947729394 4.87717165516885 1.07617778515702e-06 9.40579384227233e-05 "protein_coding" "Klp61F"
"FBgn0004426" 497.125753947127 1.52341305270785 0.200159128692822 7.50983538468597 5.92017596355652e-14 3.79443811424216e-11 "pseudogene" "LysC"
"FBgn0004431" 5364.99172507906 0.912034934765368 0.278125275629841 3.65731254994164 0.000254873523751697 0.00917735602003302 "protein_coding" "LysX"
"FBgn0004584" 286.684836140718 0.834099284194083 0.219784455476072 3.8944619061785 9.84169560364482e-05 0.00442140474455333 "protein_coding" "Rrp1"
