"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 331.972768333404 0.34233006164756 0.270659055052557 1.25826618417475 0.208295506374202 0.591770980579663 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 213.245822463407 -0.47732408057796 0.244465832754369 -2.28996860449888 0.0220231366901377 0.183793781370646 "protein_coding" "a"
"FBgn0000014" 121.407851185297 -0.483962183516494 0.243986000941715 -1.99850659491462 0.0456617656717912 0.277945634630274 "protein_coding" "abd-A"
"FBgn0000015" 52.8946397583411 0.0396918169325247 0.279125664671094 -0.195138832849039 0.845284262675384 0.957413526600619 "protein_coding" "Abd-B"
"FBgn0000017" 911.142267451537 -0.0890998972709894 0.15168513249196 -0.55327961860181 0.580071955059892 0.864980226510177 "protein_coding" "Abl"
"FBgn0000018" 336.630138700783 0.113775004717169 0.149624595225292 0.763091322339351 0.445408934865946 0.795090474830272 "protein_coding" "abo"
"FBgn0000024" 2368.96793884737 0.458386788429887 0.190635023799133 2.37313334989328 0.0176378947954358 0.159071970509681 "protein_coding" "Ace"
"FBgn0000032" 874.227436794152 0.0918964644992701 0.123680764941635 0.725532136748541 0.468125636925207 0.808290207147798 "protein_coding" "Acph-1"
"FBgn0000042" 156658.81746325 -0.177182783001307 0.183716787994999 -1.00400770386448 0.315374900295854 0.697755123263018 "protein_coding" "Act5C"
"FBgn0000043" 10825.7566788762 -1.23294314092341 0.248279141628221 -5.33007108978568 9.81743295517162e-08 1.16524444976568e-05 "protein_coding" "Act42A"
"FBgn0000044" 10924.5741091043 -0.208864908245499 0.272618396731942 -0.58967161312283 0.555410830063615 0.854183549136086 "protein_coding" "Act57B"
"FBgn0000045" 124.888107881827 0.0447292357547433 0.278985701421182 0.36551264363097 0.714728770502721 0.918346356242253 "protein_coding" "Act79B"
"FBgn0000046" 1616.72602724083 -0.210637740933913 0.252314752351664 -0.696586910395266 0.48606134988913 0.820975723442392 "protein_coding" "Act87E"
"FBgn0000052" 1063.60987513371 0.187928805427499 0.158576351993042 1.19635870069432 0.231556610577112 0.61667181553694 "protein_coding" "Pfas"
"FBgn0000053" 1136.61216523959 0.245100253322569 0.144092753599918 1.67606911904373 0.0937246547129472 0.406528723751449 "protein_coding" "Gart"
