"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 331.972768333404 0.246964544550004 0.262201259981728 0.824856386924296 0.409453129422199 0.949195115792089 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 213.245822463407 0.900757033602887 0.229391219070798 3.833281256332 0.000126445241315935 0.0066067638587576 "protein_coding" "a"
"FBgn0000014" 121.407851185297 -0.113668131450035 0.229823217844908 -0.659818805506125 0.509370113804086 0.975923004904544 "protein_coding" "abd-A"
"FBgn0000015" 52.8946397583411 -0.149358381003557 0.276425345744993 -1.00807090249178 0.313420425289186 0.902647624103004 "protein_coding" "Abd-B"
"FBgn0000017" 911.142267451537 -0.12210824864826 0.140879483819848 -0.902554081900614 0.366762606117608 0.933807122673379 "protein_coding" "Abl"
"FBgn0000018" 336.630138700783 -0.0559275165293236 0.139687444129791 -0.370438815676039 0.711055556865652 0.999511152611106 "protein_coding" "abo"
"FBgn0000024" 2368.96793884737 0.387219715357283 0.178382773592799 2.10615669158983 0.0351907437056421 0.38445887498414 "protein_coding" "Ace"
"FBgn0000032" 874.227436794152 0.0895421292139404 0.114722945716349 0.785009362568761 0.432448079232447 0.954615183456779 "protein_coding" "Acph-1"
"FBgn0000042" 156658.81746325 0.100492835077514 0.171691025646867 0.607180332415222 0.543731242935535 0.982701264529776 "protein_coding" "Act5C"
"FBgn0000043" 10825.7566788762 0.0551865855692044 0.236417827182315 0.310000701901787 0.756560422592904 0.999511152611106 "protein_coding" "Act42A"
"FBgn0000044" 10924.5741091043 -0.0963215656796252 0.275872137290794 -0.566536539014215 0.571029101324547 0.989117690383159 "protein_coding" "Act57B"
"FBgn0000045" 124.888107881827 -0.0416117020748608 0.275531826133621 -0.398056574366234 0.690588483651872 0.99813572373214 "protein_coding" "Act79B"
"FBgn0000046" 1616.72602724083 -0.0281432223224373 0.261182153286295 -0.278372036364644 0.780726783232017 0.999511152611106 "protein_coding" "Act87E"
"FBgn0000052" 1063.60987513371 -0.0883873298272044 0.147869145873185 -0.586590081492939 0.557479045645122 0.988391492182296 "protein_coding" "Pfas"
"FBgn0000053" 1136.61216523959 0.17609779434625 0.133880988139734 1.25931903473185 0.207915120635948 0.81654247132108 "protein_coding" "Gart"
"FBgn0000055" 4227.49743724334 -0.32835930105493 0.242763672936338 -1.5085566903398 0.131412109069526 0.703960100812462 "protein_coding" "Adh"
"FBgn0000056" 41.6192843046433 -0.851870704664926 0.277835312933516 -3.09499757725088 0.00196814504743167 0.0557285043307144 "protein_coding" "Adhr"
"FBgn0000057" 718.417038240937 0.0870354936326283 0.1111815501086 0.790936607739941 0.428980984720274 0.954615183456779 "protein_coding" "adp"
"FBgn0000063" 22.3719640180024 -0.138795763340074 0.270510298330441 -0.438380032710431 0.661110818388245 0.997901085239301 "protein_coding" "Mps1"
"FBgn0000064" 22442.1844486177 -0.00655901319261747 0.109569025713173 -0.0708221878566918 0.943539272806641 0.999511152611106 "protein_coding" "Ald1"
"FBgn0000075" 59.2797951208538 -0.0990404672107453 0.265287894264983 -0.469816786676081 0.638485920078769 0.996425862982592 "protein_coding" "amd"
"FBgn0000077" 304.38795294067 -0.011455461950723 0.177586622882109 -0.0188817642716069 0.984935426951781 1 "protein_coding" "amx"
"FBgn0000078" 286105.737749595 0.31455957943797 0.169570359512842 1.87659838090025 0.0605731594622866 0.503763282932892 "protein_coding" "Amy-d"
"FBgn0000079" 338078.491311963 0.313081458662192 0.168150778362539 1.84554993027357 0.0649575823049015 0.52313370154829 "protein_coding" "Amy-p"
"FBgn0000083" 4196.10729588364 -0.0453222889905961 0.200418735732649 -0.250635328446014 0.802096065176489 0.999511152611106 "protein_coding" "AnxB9"
"FBgn0000084" 1497.45534172879 0.549376356157644 0.198812837696069 2.75937083295531 0.00579127761764025 0.118990000162242 "protein_coding" "AnxB10"
"FBgn0000092" 12.6561723639998 -0.44475933928496 0.271834601045659 -1.69384441800425 0.0902948511229932 0.615514715222596 "protein_coding" "dyw"
"FBgn0000097" 2693.44757063649 -0.0529503817101167 0.129873345298973 -0.454787345359726 0.649262235170113 0.996464974815918 "protein_coding" "aop"
"FBgn0000100" 57876.7678250621 -0.159501963583873 0.131000838774397 -1.22649221601866 0.220013502762054 0.831189147676686 "protein_coding" "RpLP0"
"FBgn0000108" 233.755892104827 -0.157926588417332 0.168497344665409 -0.932243286170694 0.351210809899316 0.925367650535344 "protein_coding" "Appl"
"FBgn0000109" 789.697383227538 0.182140792317909 0.111315036732944 1.66499270621039 0.0959142109974511 0.625868745440022 "protein_coding" "Aprt"
"FBgn0000114" 95.5205147682167 0.10481547524306 0.250292656320884 -0.08537776819622 0.931961067027106 0.999511152611106 "protein_coding" "bru1"
"FBgn0000115" 1326.85743075134 0.12602488972792 0.10840533453219 1.19073618024967 0.233757169758253 0.846456282506908 "protein_coding" "Arl1"
"FBgn0000116" 46525.1033865741 -0.00781927480316215 0.163209749577652 -0.0787388194185268 0.937240367885611 0.999511152611106 "protein_coding" "Argk"
"FBgn0000117" 7200.2023961243 0.00405272823895243 0.0977075877740167 0.0459248823155096 0.963370121877135 0.999511152611106 "protein_coding" "arm"
"FBgn0000119" 1937.97216317741 -0.000427373887607647 0.156730426959528 0.0156658547864675 0.987500967586208 1 "protein_coding" "arr"
"FBgn0000120" 68.4036790281213 -1.87635888337748 0.277665124571421 -5.51001713861896 3.5879876189239e-08 6.50847414496876e-06 "protein_coding" "Arr1"
"FBgn0000139" 808.968428272553 0.122475244696922 0.157958254339906 0.805857443125673 0.420325051881086 0.952744923777377 "protein_coding" "ash2"
"FBgn0000140" 62.7177729477183 0.0410739109242501 0.268183649725548 0.474441554275357 0.635185066487949 0.996425862982592 "protein_coding" "asp"
"FBgn0000146" 14.1328877729522 -0.370230877491075 0.259607016245213 -1.90953139156484 0.0561935761600299 0.481931348084324 "protein_coding" "aub"
"FBgn0000147" 21.0076568680776 0.223328621999806 0.276937372164745 1.15944312592912 0.246275606592105 0.858221481736799 "protein_coding" "aurA"
"FBgn0000150" 17565.4539299614 0.011626815411661 0.104486888344848 0.126185826734552 0.899584830310516 0.999511152611106 "protein_coding" "awd"
"FBgn0000152" 270.859672391881 -0.189988301399604 0.169880097113245 -1.15251324446721 0.249110230437321 0.859275677938054 "protein_coding" "Axs"
"FBgn0000163" 1756.46026846523 0.0921313259349748 0.163664207430022 0.542896279491997 0.587201217735562 0.992108914790095 "protein_coding" "baz"
"FBgn0000173" 4067.59222244942 -0.0357251906413575 0.0868869937237466 -0.403289350773477 0.686735374951368 0.998054112069832 "protein_coding" "ben"
"FBgn0000180" 92.3099707012768 0.314316158050682 0.241466893848559 1.32716784199186 0.184453167524418 0.787982189016344 "protein_coding" "bib"
"FBgn0000181" 18952.6378937814 -0.0419959883054079 0.123316523281598 -0.360906175190599 0.718169587150216 0.999511152611106 "protein_coding" "bic"
"FBgn0000183" 3669.65933416158 -0.0239128965370313 0.108368237865951 -0.231675480160942 0.816790077278254 0.999511152611106 "protein_coding" "BicD"
"FBgn0000212" 1993.72861294582 0.035322419206739 0.126683752906585 0.260973940515963 0.794112603507425 0.999511152611106 "protein_coding" "brm"
"FBgn0000221" 231.112967299887 0.0867905071169523 0.165708893625165 0.57096917109652 0.568020540763181 0.988984741787252 "protein_coding" "brn"
"FBgn0000228" 1502.41989469906 -0.145098556203198 0.152611472465739 -0.940538099836086 0.346941616161747 0.920644962125044 "protein_coding" "Bsg25D"
"FBgn0000229" 1694.42420473125 -0.207096647198929 0.11467136208365 -1.78091660392205 0.074926075703269 0.560575324366715 "protein_coding" "bsk"
"FBgn0000239" 2350.15978770489 0.0400850833731967 0.0999209044316253 0.399114109062291 0.689809126675255 0.99813572373214 "protein_coding" "bur"
