"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 331.972768333404 0.0953655170910564 0.269455564085524 0.479449098796373 0.631619171405594 0.897907924120171 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 213.245822463407 -1.37808111419264 0.243960174463532 -5.58445554273995 2.34433475346745e-08 4.0978971490611e-06 "protein_coding" "a"
"FBgn0000014" 121.407851185297 -0.370294052065086 0.244589771898925 -1.36601762499861 0.171933431459362 0.567250518205321 "protein_coding" "abd-A"
"FBgn0000015" 52.8946397583411 0.189050197938136 0.277005797451098 0.707806755389178 0.479065270693414 0.824809010108611 "protein_coding" "Abd-B"
"FBgn0000017" 911.142267451537 0.0330083513790642 0.154962470514809 0.27048547766555 0.786786787834218 0.941988565160419 "protein_coding" "Abl"
"FBgn0000018" 336.630138700783 0.169702521246448 0.153064943572869 1.06945994065752 0.28486247039176 0.689146399181274 "protein_coding" "abo"
"FBgn0000024" 2368.96793884737 0.0711670730664934 0.193462512256301 0.410722120511449 0.681276304876706 0.914047969305991 "protein_coding" "Ace"
"FBgn0000032" 874.227436794152 0.00235433528468589 0.126708425224717 6.28923840588383e-05 0.9999498191378 1 "protein_coding" "Acph-1"
"FBgn0000042" 156658.81746325 -0.27767561808129 0.186854904281739 -1.51252011119922 0.130401600375075 0.500854450694415 "protein_coding" "Act5C"
"FBgn0000043" 10825.7566788762 -1.28812972649707 0.248927994393907 -5.42538760681632 5.78289093001971e-08 8.68698646893898e-06 "protein_coding" "Act42A"
"FBgn0000044" 10924.5741091043 -0.112543342565841 0.26990041574605 -0.0633879698151738 0.949457566683375 0.988328298754879 "protein_coding" "Act57B"
"FBgn0000045" 124.888107881827 0.0863409378319756 0.276756761071628 0.70995271936602 0.477733456365766 0.823550519366333 "protein_coding" "Act79B"
"FBgn0000046" 1616.72602724083 -0.182494518611463 0.249919553482348 -0.424299076073367 0.671347712957022 0.910729069051617 "protein_coding" "Act87E"
"FBgn0000052" 1063.60987513371 0.276316135255501 0.161950054010468 1.68145740010019 0.0926741043030821 0.43525590560324 "protein_coding" "Pfas"
"FBgn0000053" 1136.61216523959 0.0690024589755845 0.147055667175174 0.497015255827016 0.61917829319534 0.894896322482409 "protein_coding" "Gart"
"FBgn0000055" 4227.49743724334 0.454823785983621 0.254322223021271 2.0260456620493 0.0427601056087919 0.291764127269642 "protein_coding" "Adh"
"FBgn0000056" 41.6192843046433 0.237962850571275 0.275573293675229 1.13052834973567 0.258253659625393 0.662953339899126 "protein_coding" "Adhr"
