"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000008" 213.245822463407 -1.37808111419264 0.243960174463532 -5.58445554273995 2.34433475346745e-08 4.0978971490611e-06 "protein_coding" "a"
"FBgn0000043" 10825.7566788762 -1.28812972649707 0.248927994393907 -5.42538760681632 5.78289093001971e-08 8.68698646893898e-06 "protein_coding" "Act42A"
"FBgn0000084" 1497.45534172879 -1.1187206345333 0.2143284814224 -5.23029380668402 1.69240848220027e-07 2.16944201971645e-05 "protein_coding" "AnxB10"
"FBgn0000140" 62.7177729477183 -1.00416315174868 0.274021158432409 -4.29067155654234 1.78133610578305e-05 0.00106371213173902 "protein_coding" "asp"
"FBgn0000147" 21.0076568680776 -0.819732936895477 0.27526454551787 -3.31286577608381 0.000923452861673353 0.0226481525819582 "protein_coding" "aurA"
"FBgn0000180" 92.3099707012768 -1.11454393871885 0.255715692319418 -4.36920251544308 1.24701084935559e-05 0.000816508553522103 "protein_coding" "bib"
"FBgn0000261" 15340.8701060336 0.627313681180124 0.189406491155899 3.3284259849021 0.000873382087769051 0.021970423782961 "protein_coding" "Cat"
"FBgn0000395" 668.791098389089 -0.694163967525517 0.26341718722232 -2.69891078407172 0.00695668231163305 0.0926727027603611 "protein_coding" "cv-2"
"FBgn0000404" 263.932717414637 -1.19959331826793 0.246564237933847 -5.22642486483357 1.72818998569892e-07 2.18616033190914e-05 "protein_coding" "CycA"
"FBgn0000405" 119.965399720511 -0.93548517493012 0.266416392256632 -4.13659446543545 3.52498277144337e-05 0.00189325052316517 "protein_coding" "CycB"
"FBgn0000463" 239.764468583632 -0.962568915711547 0.258553676361822 -3.6887822397135 0.000225329970371305 0.008364178900192 "protein_coding" "Dl"
"FBgn0000557" 28.1277600834708 1.03949878370212 0.27686928855156 3.81565698219862 0.000135821074286357 0.00565274375839408 "protein_coding" "eEF1alpha2"
"FBgn0000578" 871.843581606296 -0.597056017134852 0.207458626717505 -2.89980733937049 0.00373392087890533 0.060029958745478 "protein_coding" "ena"
"FBgn0001086" 47.4360412058006 -0.871414161518937 0.275542123346163 -3.63418275559368 0.00027886315020887 0.00971373306560896 "protein_coding" "fzy"
"FBgn0001089" 19978.7619681781 0.688691549354148 0.197057865086823 3.58539539844665 0.00033656788585452 0.0110148597038797 "protein_coding" "Gal"
"FBgn0001098" 7493.86866822039 0.601360685108794 0.190099479384832 3.31170559794762 0.000927290740435857 0.0226844101235377 "protein_coding" "Gdh"
"FBgn0001112" 38.3977174568489 0.706909961342144 0.277414096668321 2.69162275500182 0.00711053252053491 0.0940311687103474 "protein_coding" "Gld"
"FBgn0001248" 25957.615314741 0.627187604011481 0.213879063436166 2.94827280679822 0.0031955492891575 0.0541834406807058 "protein_coding" "Idh"
"FBgn0001320" 77.101726313301 0.763433279778352 0.239402683959312 3.14697031320125 0.00164971710564965 0.0344042955612055 "protein_coding" "kni"
"FBgn0001612" 258.511078743999 0.884707320199793 0.220095880939033 3.97546117848764 7.02430022285775e-05 0.00335978220609724 "protein_coding" "Grip91"
"FBgn0002466" 93.7991733914905 -1.37905946912537 0.270256366053783 -5.60600174754914 2.07053871825553e-08 3.755879101379e-06 "protein_coding" "sti"
"FBgn0002526" 2380.8693978187 -0.848597811161009 0.228735863733004 -3.64585235267073 0.000266506968837756 0.00948962221631921 "protein_coding" "LanA"
"FBgn0002531" 82.8230584080704 0.74970330970219 0.277217574052748 2.68642039510215 0.00722221555243164 0.0942193004989682 "protein_coding" "Lcp1"
"FBgn0002565" 16.1832583559809 0.921319542952627 0.26389923922066 3.3157482592749 0.000913981203200129 0.0225308084296565 "protein_coding" "Lsp2"
"FBgn0002609" 441.837207874459 -1.33668677915311 0.244459465317287 -5.56307577219109 2.65060728314702e-08 4.39361007244404e-06 "protein_coding" "E(spl)m3-HLH"
"FBgn0002645" 4310.05084703925 -0.634898450316473 0.163939027999162 -3.86632649036328 0.000110487005006063 0.00487257828499216 "protein_coding" "Map205"
"FBgn0002732" 214.846189456884 -1.1662036048956 0.249003792135034 -4.60614460360235 4.10203190914038e-06 0.00032592508078079 "protein_coding" "E(spl)malpha-BFM"
"FBgn0002733" 259.926026338457 -1.0702898850406 0.244011040248709 -4.39761819197811 1.09445288342736e-05 0.000746246100799336 "protein_coding" "E(spl)mbeta-HLH"
"FBgn0002873" 109.216641485073 -0.988603434396034 0.272329496666963 -3.82511660827755 0.000130710203288874 0.00553589380801423 "protein_coding" "mud"
"FBgn0002917" 15.2683443945766 -0.741453188913579 0.27083134885881 -2.93781409799626 0.0033053515888065 0.055458377268387 "protein_coding" "na"
"FBgn0002924" 134.736337747509 -0.759099560519043 0.206950724860381 -3.7266402007564 0.000194049153639298 0.00740312921860402 "protein_coding" "ncd"
"FBgn0003023" 28.642912913803 1.45364729092888 0.276907693102811 4.91340215225885 8.95094136218376e-07 8.72439512069382e-05 "protein_coding" "otu"
"FBgn0003041" 386.995686819778 -0.755555633056321 0.24021035842 -2.97696845087083 0.00291113965435491 0.0509009114846128 "protein_coding" "pbl"
"FBgn0003124" 121.279237099211 -1.01171819659761 0.270879527920678 -4.14998298919729 3.32499983972657e-05 0.00180601968695657 "protein_coding" "polo"
"FBgn0003162" 231.491870380385 0.85731535872746 0.223077002355557 3.73931500250237 0.000184522385551632 0.00718217900685584 "protein_coding" "Pu"
"FBgn0003268" 164.077005077249 -0.643754454849953 0.186188602688655 -3.47247462334824 0.000515683762420716 0.0153968437637042 "protein_coding" "rod"
"FBgn0003388" 101.77619255675 1.01531971192502 0.262551527372919 3.76431992570057 0.00016700296271279 0.00660726947950933 "protein_coding" "shd"
"FBgn0003401" 30.8538115804014 -0.758162734164243 0.276072818160511 -3.02115119452857 0.00251815584699507 0.0463784488754993 "protein_coding" "shu"
"FBgn0003429" 1877.73627362649 0.864208198397787 0.240549433596315 3.52923181144349 0.000416767889045782 0.0130091119652148 "protein_coding" "slo"
"FBgn0003447" 573.622385964307 0.61688942623844 0.209602433488407 2.96981952799149 0.00297974746694658 0.0516167426076115 "protein_coding" "sn"
"FBgn0003483" 25.8627724786312 -0.776342362657038 0.273315212842467 -3.02901150828771 0.00245355336423642 0.0458028389199397 "protein_coding" "spn-E"
"FBgn0003888" 6076.58720385537 -0.889217784192828 0.275541124740425 -4.12807288588301 3.65816171542092e-05 0.00193632506272199 "protein_coding" "betaTub60D"
"FBgn0003979" 16.5996814255709 1.58659196903364 0.256533226326609 4.99009981697968 6.03481001382266e-07 6.66881189343575e-05 "protein_coding" "Vm26Aa"
"FBgn0003984" 163.89130839915 -0.87029464454973 0.267467261681795 -3.38407803468742 0.000714177021233893 0.0193957567292165 "protein_coding" "vn"
"FBgn0004045" 2799.75756251612 -1.13980964514824 0.258792489986448 -3.80825772642856 0.000139949370493083 0.00574988567487394 "protein_coding" "Yp1"
"FBgn0004106" 60.322910466032 -0.772515177432714 0.271297203187756 -2.85213904072366 0.00434261011661904 0.0670681286561237 "protein_coding" "Cdk1"
"FBgn0004108" 186.261748236562 -0.882718475403168 0.245521647496463 -3.71204925196884 0.000205587968506 0.0077815855480972 "protein_coding" "Nrt"
"FBgn0004170" 19.2986779742935 -0.87146155753379 0.273414161243729 -3.07867101901666 0.00207926150015669 0.0404656276568955 "protein_coding" "sc"
"FBgn0004362" 1121.62900966281 -0.722155766296845 0.209300568712136 -3.43096893674505 0.000601429466744235 0.0170564687117377 "protein_coding" "HmgD"
"FBgn0004378" 110.646353111079 -1.11122760568393 0.238647254779594 -4.74491350744831 2.08595446723777e-06 0.000183985011449761 "protein_coding" "Klp61F"
"FBgn0004394" 1032.51843019156 -0.782549661288004 0.247078617829007 -3.0769130391729 0.0020915630894389 0.0405409023021484 "protein_coding" "pdm2"
"FBgn0004426" 497.125753947127 -1.35840079150759 0.20170404259024 -6.43453958456686 1.23848160345646e-10 4.53535717754765e-08 "pseudogene" "LysC"
