"pvalue" "padj" "gene_biotype" "external_gene_name" "Cluster"
"FBgn0000003" 0.593277683973691 0.903496222671166 "ncRNA" "7SLRNA:CR32864" NA
"FBgn0000008" 2.09241643755167e-07 1.03693255827947e-05 "protein_coding" "a" 1
"FBgn0000014" 0.270924696347205 0.666326434045031 "protein_coding" "abd-A" NA
"FBgn0000015" 0.747063227403806 0.959662966337475 "protein_coding" "Abd-B" NA
"FBgn0000017" 0.356464292319556 0.750378676558062 "protein_coding" "Abl" NA
"FBgn0000018" 0.755749808468197 0.962099928312135 "protein_coding" "abo" NA
"FBgn0000024" 0.00865875959571974 0.07389294193328 "protein_coding" "Ace" 2
"FBgn0000032" 0.189463876702735 0.559602368854099 "protein_coding" "Acph-1" NA
"FBgn0000042" 0.486312571008149 0.849754825916512 "protein_coding" "Act5C" NA
"FBgn0000043" 1.10485264659572e-06 4.35330055097183e-05 "protein_coding" "Act42A" 1
"FBgn0000044" 0.865876319060283 0.988253559962158 "protein_coding" "Act57B" NA
"FBgn0000045" 0.436800736530605 0.817640631036846 "protein_coding" "Act79B" NA
"FBgn0000046" 0.889978621549468 0.993342706196294 "protein_coding" "Act87E" NA
"FBgn0000052" 0.386098833376987 0.774187367085952 "protein_coding" "Pfas" NA
"FBgn0000053" 0.000199364219614686 0.00379542100470414 "protein_coding" "Gart" 3
"FBgn0000055" 0.105037311828897 0.399615637484374 "protein_coding" "Adh" NA
"FBgn0000056" 0.0105194591444564 0.0845444985679326 "protein_coding" "Adhr" 4
"FBgn0000057" 0.088060572289658 0.364919974996884 "protein_coding" "adp" NA
"FBgn0000063" 0.282634744197659 0.676612381596918 "protein_coding" "Mps1" NA
"FBgn0000064" 0.217391912508693 0.598341210094067 "protein_coding" "Ald1" NA
"FBgn0000075" 0.444151674556039 0.82316081711587 "protein_coding" "amd" NA
"FBgn0000077" 0.932081677265274 0.999487308163372 "protein_coding" "amx" NA
"FBgn0000078" 1.56760535699486e-05 0.000440671283688556 "protein_coding" "Amy-d" 2
"FBgn0000079" 0.000482441330125523 0.00792853153474663 "protein_coding" "Amy-p" 2
"FBgn0000083" 0.182698122633964 0.548452448125742 "protein_coding" "AnxB9" NA
"FBgn0000084" 1.25087640176042e-06 4.82968904679708e-05 "protein_coding" "AnxB10" 1
"FBgn0000092" 0.254198817261213 0.644990084230482 "protein_coding" "dyw" NA
"FBgn0000097" 0.400746903456256 0.789180813156174 "protein_coding" "aop" NA
"FBgn0000100" 0.260553999654762 0.653867437400387 "protein_coding" "RpLP0" NA
"FBgn0000108" 0.573091282562203 0.894931248680156 "protein_coding" "Appl" NA
"FBgn0000109" 0.349497776156227 0.744696724283238 "protein_coding" "Aprt" NA
"FBgn0000114" 0.684753242459868 0.944401453124943 "protein_coding" "bru1" NA
"FBgn0000115" 0.433307748615329 0.815091940182477 "protein_coding" "Arl1" NA
"FBgn0000116" 0.137912718508709 0.470837661136491 "protein_coding" "Argk" NA
"FBgn0000117" 0.578354725519094 0.896524889216838 "protein_coding" "arm" NA
