"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000003" 304.032149985355 0.366965787665737 0.194809622875722 1.83453391552149 0.0665747781216081 0.579136158801784 "ncRNA" "7SLRNA:CR32864"
"FBgn0000008" 192.688575413324 0.499813171388054 0.228273578068141 2.20386091744542 0.0275341268462838 0.360535538159116 "protein_coding" "a"
"FBgn0000014" 125.497652249616 -0.106711768904626 0.236661177785526 -0.461264045737582 0.644609176987784 0.999779224862744 "protein_coding" "abd-A"
"FBgn0000015" 48.3856765972941 -0.136049899857154 0.239125243691208 -0.525907413704348 0.598952537620193 0.999779224862744 "protein_coding" "Abd-B"
"FBgn0000017" 886.321823402698 -0.220538477665173 0.147314404849893 -1.51756636611221 0.129123751138122 0.783463028411735 "protein_coding" "Abl"
"FBgn0000018" 330.00081915537 0.00224683703796119 0.178909513452467 0.0190302055572962 0.984817009219248 0.999779224862744 "protein_coding" "abo"
"FBgn0000024" 2227.7399403129 0.537405937079379 0.186222844853854 2.91781423643205 0.00352494277501824 0.0878763655964287 "protein_coding" "Ace"
"FBgn0000032" 864.432662481341 0.209264005842783 0.147337644060923 1.44737701103856 0.14779136079034 0.824022425422378 "protein_coding" "Acph-1"
"FBgn0000037" 10.2555222417559 -0.0140653728007927 0.208181774681478 -0.198995893013456 0.842265957249469 0.999779224862744 "protein_coding" "mAChR-A"
"FBgn0000042" 155878.361596847 0.0604122995877099 0.128891060514327 0.462193141869832 0.643942820906246 0.999779224862744 "protein_coding" "Act5C"
"FBgn0000043" 12071.6597921552 -0.037808155724035 0.209178590300315 -0.0733408349368486 0.941534897595767 0.999779224862744 "protein_coding" "Act42A"
"FBgn0000044" 11852.2487992842 0.0272195688102614 0.245504090096037 0.141370997561904 0.887576864731206 0.999779224862744 "protein_coding" "Act57B"
"FBgn0000045" 109.888360830731 -0.409020245513596 0.235469733328271 -1.70163281370728 0.0888242222758629 0.6713416230535 "protein_coding" "Act79B"
"FBgn0000046" 1777.87005392015 0.034924702742918 0.230573055483384 0.144348858525012 0.885224998741958 0.999779224862744 "protein_coding" "Act87E"
"FBgn0000052" 1046.63547491639 0.0483839351108367 0.166847260610991 0.235538626065121 0.813790702725686 0.999779224862744 "protein_coding" "Pfas"
"FBgn0000053" 1147.99052635213 0.552572471868553 0.153039477101744 3.59180758804334 0.000328392280691627 0.0141341215698576 "protein_coding" "Gart"
"FBgn0000055" 4482.60502860226 0.237068836452482 0.214777527666895 1.21513545011421 0.224314434817996 0.944285063764529 "protein_coding" "Adh"
"FBgn0000056" 56.5784387731593 -0.108688510218285 0.24055297076062 -0.189622193232644 0.849605195044286 0.999779224862744 "protein_coding" "Adhr"
"FBgn0000057" 682.428691708817 0.138796364300608 0.149240677808376 0.953140499193996 0.340518888775809 0.999779224862744 "protein_coding" "adp"
"FBgn0000063" 24.5261438444131 -0.0849114296577518 0.240267796338431 -0.317597420575343 0.750790330998095 0.999779224862744 "protein_coding" "Mps1"
"FBgn0000064" 21158.6894894133 -0.0725571878937042 0.123529084860439 -0.573165372219049 0.566532727942704 0.999779224862744 "protein_coding" "Ald1"
