"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "gene_biotype" "external_gene_name"
"FBgn0000078" 279649.951226376 0.78947489127857 0.138987975954041 5.7019421489637 1.18450031250408e-08 1.74905138452526e-06 "protein_coding" "Amy-d"
"FBgn0000120" 101.519168646176 -1.40199103638359 0.239155613274326 -6.35455286698961 2.09033748902318e-10 4.55978618628283e-08 "protein_coding" "Arr1"
"FBgn0001285" 19880.3983937559 1.06162137398278 0.150699199859036 6.83906111669605 7.97138749184146e-12 2.06782100396471e-09 "protein_coding" "Jon44E"
"FBgn0001612" 246.146213490687 0.633386719424232 0.209994782909438 2.99121108784683 0.00277873339327376 0.0734718542937783 "protein_coding" "Grip91"
"FBgn0002531" 138.843245396867 2.79472812789378 0.24363408392938 10.5180485447986 7.13357341599768e-26 4.02753162627916e-23 "protein_coding" "Lcp1"
"FBgn0002564" 151.764303044738 1.27276113017237 0.246329654545081 5.11456862999172 3.14458745604377e-07 3.77271880038851e-05 "protein_coding" "Lsp1gamma"
"FBgn0002939" 8495.24579752764 -0.665078009871121 0.232016583575964 -3.04653312874582 0.00231496967202251 0.0636649825560804 "protein_coding" "ninaD"
"FBgn0003046" 79.0242305888643 2.11081583296801 0.24600469749592 7.56524525344867 3.87133493773843e-14 1.37618787897828e-11 "protein_coding" "Pcp"
"FBgn0003358" 71967.4799518021 0.837178454466721 0.161731853213718 5.18086997050217 2.2085341297035e-07 2.7529234515447e-05 "protein_coding" "Jon99Ci"
"FBgn0003390" 431.093239931613 0.93366337902378 0.211757003625074 4.36965654220104 1.24442105643363e-05 0.00100369355459243 "protein_coding" "shf"
"FBgn0003996" 683.286177494357 0.607957044213392 0.183440534570826 3.2019158788765 0.0013651685790522 0.0428198954958924 "protein_coding" "w"
"FBgn0004045" 1708.05319653438 -0.69790839739532 0.235232291203777 -3.00393727264778 0.00266510266153593 0.0713250429636757 "protein_coding" "Yp1"
"FBgn0004240" 55.3218736467857 0.942570842591371 0.242715153017651 3.66249427349863 0.000249771337954606 0.0113080438758883 "protein_coding" "DptA"
"FBgn0004425" 706.142681421927 0.799243724987555 0.225702569731481 3.5568129775986 0.000375381196740928 0.0160129276725308 "protein_coding" "LysB"
"FBgn0004426" 444.562351378393 2.1862193910437 0.179838086421865 12.0931639817709 1.14779660519076e-33 1.10165518166209e-30 "pseudogene" "LysC"
"FBgn0004607" 2933.14776408391 0.812703681673524 0.225036923515529 3.96813868119035 7.24361788938865e-05 0.00423928320136295 "protein_coding" "zfh2"
"FBgn0004622" 195.918292034615 0.663873441414753 0.228224027781839 2.95985589587791 0.00307782972513084 0.0785665151643773 "protein_coding" "TkR99D"
"FBgn0004878" 22.3500606555702 1.01000940141099 0.221313042060723 5.15770971669525 2.49988781962615e-07 3.07614401189381e-05 "protein_coding" "cas"
"FBgn0005670" 3718.01944530848 -1.97298567293039 0.13040869859012 -15.1325417274889 9.88043123983034e-52 1.58053965066486e-48 "protein_coding" "Cyp4d1"
"FBgn0010041" 621.611482191695 1.47957968944191 0.244238473711554 6.10333500845898 1.03877793510812e-09 1.91734435022456e-07 "protein_coding" "GstD5"
"FBgn0010222" 392.273373603282 0.72028909635957 0.178303563767785 3.69570965321132 0.000219273448830821 0.010216439620768 "protein_coding" "Nmdmc"
"FBgn0010358" 28834.8528667859 -1.58439021253058 0.125570740624382 -12.6116820294749 1.82065330057374e-36 1.94162559765631e-33 "protein_coding" "deltaTry"
"FBgn0010359" 35541.6465728542 -2.976256569087 0.117547031599981 -25.294468974831 3.67474500141877e-141 3.52702025236173e-137 "protein_coding" "gammaTry"
"FBgn0010385" 75.9228840390496 0.759556863877658 0.241265468475224 3.21557519996504 0.00130183381482452 0.0412376269131542 "protein_coding" "Def"
"FBgn0011576" 806.516171666421 0.610799930586795 0.191151191419457 3.18935142189579 0.00142592417905969 0.0438992278456772 "protein_coding" "Cyp4d2"
"FBgn0011834" 9383.41706857644 1.80828124624509 0.175950109071306 10.3345214164985 4.91861118845055e-25 2.62271278815269e-22 "protein_coding" "Ser6"
"FBgn0013277" 144.234366416976 2.91271883931647 0.245050071060022 7.65813524218609 1.8865217008403e-14 6.96416741717893e-12 "protein_coding" "Hsp70Ba"
"FBgn0013323" 33.2107293329445 -0.718027171317167 0.241737923968114 -2.94825156313132 0.0031957689089408 0.0809956605968883 "protein_coding" "Ptth"
"FBgn0013681" 8011.53593655684 -0.78437391971324 0.194523906710015 -3.98498518161165 6.74843368735768e-05 0.00404821665820369 "protein_coding" "mt:ND3"
"FBgn0015001" 5874.26408966393 -0.665735391785183 0.122625348588395 -5.48091933714059 4.23121373132013e-08 5.88567962220443e-06 "protein_coding" "iotaTry"
"FBgn0015010" 6661.30199404915 0.842392215174932 0.139336107643875 5.90995131010996 3.42208865954304e-09 5.47420115904902e-07 "protein_coding" "Ag5r"
"FBgn0015037" 2221.02491158043 -0.624278467688588 0.198786272438984 -3.23195349307116 0.00122947064320796 0.0397321859714141 "protein_coding" "Cyp4p1"
"FBgn0015316" 3002.48304174585 -0.83169703365643 0.242499802765872 -3.49734679223103 0.000469910537732538 0.0192743647057987 "protein_coding" "Try29F"
"FBgn0015904" 489.255845334322 0.705860232643895 0.210489647735341 3.29525782445415 0.000983314174688569 0.0345708771013219 "protein_coding" "ara"
"FBgn0017448" 86.2519058958611 -0.905349626885469 0.217112246823919 -5.4017412661668 6.59970965477593e-08 9.04914475236277e-06 "protein_coding" "CG2187"
"FBgn0019928" 1414.22617241532 1.87515368866072 0.177047232500649 10.6440348241877 1.85900811709491e-26 1.11517249424231e-23 "protein_coding" "Ser8"
"FBgn0020508" 20298.0013209821 1.12935627849551 0.136157026749052 8.08999759920677 5.96659079390544e-16 2.48988427999584e-13 "protein_coding" "Ag5r2"
