"pvalue" "padj" "gene_biotype" "external_gene_name" "Cluster"
"FBgn0000003" 0.0665747781216081 0.579136158801784 "ncRNA" "7SLRNA:CR32864" NA
"FBgn0000008" 0.0275341268462838 0.360535538159116 "protein_coding" "a" NA
"FBgn0000014" 0.644609176987784 0.999779224862744 "protein_coding" "abd-A" NA
"FBgn0000015" 0.598952537620193 0.999779224862744 "protein_coding" "Abd-B" NA
"FBgn0000017" 0.129123751138122 0.783463028411735 "protein_coding" "Abl" NA
"FBgn0000018" 0.984817009219248 0.999779224862744 "protein_coding" "abo" NA
"FBgn0000024" 0.00352494277501824 0.0878763655964287 "protein_coding" "Ace" NA
"FBgn0000032" 0.14779136079034 0.824022425422378 "protein_coding" "Acph-1" NA
"FBgn0000037" 0.842265957249469 0.999779224862744 "protein_coding" "mAChR-A" NA
"FBgn0000042" 0.643942820906246 0.999779224862744 "protein_coding" "Act5C" NA
"FBgn0000043" 0.941534897595767 0.999779224862744 "protein_coding" "Act42A" NA
"FBgn0000044" 0.887576864731206 0.999779224862744 "protein_coding" "Act57B" NA
"FBgn0000045" 0.0888242222758629 0.6713416230535 "protein_coding" "Act79B" NA
"FBgn0000046" 0.885224998741958 0.999779224862744 "protein_coding" "Act87E" NA
"FBgn0000052" 0.813790702725686 0.999779224862744 "protein_coding" "Pfas" NA
"FBgn0000053" 0.000328392280691627 0.0141341215698576 "protein_coding" "Gart" NA
"FBgn0000055" 0.224314434817996 0.944285063764529 "protein_coding" "Adh" NA
"FBgn0000056" 0.849605195044286 0.999779224862744 "protein_coding" "Adhr" NA
"FBgn0000057" 0.340518888775809 0.999779224862744 "protein_coding" "adp" NA
"FBgn0000063" 0.750790330998095 0.999779224862744 "protein_coding" "Mps1" NA
"FBgn0000064" 0.566532727942704 0.999779224862744 "protein_coding" "Ald1" NA
"FBgn0000075" 0.574898990468991 0.999779224862744 "protein_coding" "amd" NA
"FBgn0000077" 0.803147964161674 0.999779224862744 "protein_coding" "amx" NA
"FBgn0000078" 1.18450031250408e-08 1.74905138452526e-06 "protein_coding" "Amy-d" 1
"FBgn0000079" 0.00191597000063817 0.0546691647434216 "protein_coding" "Amy-p" NA
"FBgn0000083" 0.906590420980906 0.999779224862744 "protein_coding" "AnxB9" NA
"FBgn0000084" 0.0510009208575371 0.502922136075925 "protein_coding" "AnxB10" NA
"FBgn0000092" 0.941232353672958 0.999779224862744 "protein_coding" "dyw" NA
"FBgn0000097" 0.636723632694564 0.999779224862744 "protein_coding" "aop" NA
"FBgn0000100" 0.157326433421982 0.846792320541335 "protein_coding" "RpLP0" NA
"FBgn0000108" 0.336626267770547 0.999779224862744 "protein_coding" "Appl" NA
"FBgn0000109" 0.421881532379362 0.999779224862744 "protein_coding" "Aprt" NA
"FBgn0000114" 0.649559095612326 0.999779224862744 "protein_coding" "bru1" NA
"FBgn0000115" 0.500225872374402 0.999779224862744 "protein_coding" "Arl1" NA
"FBgn0000116" 0.76366859467643 0.999779224862744 "protein_coding" "Argk" NA
"FBgn0000117" 0.841021475596092 0.999779224862744 "protein_coding" "arm" NA
"FBgn0000119" 0.155360590743028 0.84293439793758 "protein_coding" "arr" NA
"FBgn0000120" 2.09033748902318e-10 4.55978618628283e-08 "protein_coding" "Arr1" 2
"FBgn0000139" 0.408334648031639 0.999779224862744 "protein_coding" "ash2" NA
"FBgn0000140" 0.974558401008087 0.999779224862744 "protein_coding" "asp" NA
"FBgn0000146" 0.83713680036039 0.999779224862744 "protein_coding" "aub" NA
"FBgn0000147" 0.995541983009838 0.999779224862744 "protein_coding" "aurA" NA
"FBgn0000150" 0.782959635701369 0.999779224862744 "protein_coding" "awd" NA
"FBgn0000152" 0.762837567690901 0.999779224862744 "protein_coding" "Axs" NA
"FBgn0000163" 0.994160195432024 0.999779224862744 "protein_coding" "baz" NA
"FBgn0000173" 0.938079591099673 0.999779224862744 "protein_coding" "ben" NA
"FBgn0000180" 0.221797775125214 0.942140120132491 "protein_coding" "bib" NA
"FBgn0000181" 0.243020529243132 0.970115446683525 "protein_coding" "bic" NA
"FBgn0000183" 0.494713606168151 0.999779224862744 "protein_coding" "BicD" NA
"FBgn0000212" 0.713676679176022 0.999779224862744 "protein_coding" "brm" NA
"FBgn0000221" 0.934952929913606 0.999779224862744 "protein_coding" "brn" NA
"FBgn0000228" 0.59874548189073 0.999779224862744 "protein_coding" "Bsg25D" NA
"FBgn0000229" 0.542354335670935 0.999779224862744 "protein_coding" "bsk" NA
"FBgn0000239" 0.770007508176142 0.999779224862744 "protein_coding" "bur" NA
"FBgn0000241" 0.0362086029315611 0.415008672986317 "protein_coding" "bw" NA
"FBgn0000244" 0.550094857439416 0.999779224862744 "protein_coding" "by" NA
"FBgn0000246" 0.59052140484934 0.999779224862744 "protein_coding" "c(3)G" NA
"FBgn0000247" 0.957581372125546 0.999779224862744 "protein_coding" "ca" NA
"FBgn0000250" 0.983430993628678 0.999779224862744 "protein_coding" "cact" NA
"FBgn0000251" 0.0378941203290168 0.42526081770975 "protein_coding" "cad" NA
"FBgn0000253" 0.418737167712071 0.999779224862744 "protein_coding" "Cam" NA
"FBgn0000256" 0.472655533250027 0.999779224862744 "protein_coding" "capu" NA
"FBgn0000257" 0.557303303925635 0.999779224862744 "protein_coding" "car" NA
"FBgn0000259" 0.679631864768226 0.999779224862744 "protein_coding" "CkIIbeta" NA
"FBgn0000261" 0.123739306004391 0.774478531803948 "protein_coding" "Cat" NA
"FBgn0000273" 0.651021400511422 0.999779224862744 "protein_coding" "Pka-C1" NA
"FBgn0000279" 0.0156801811627443 0.253364274074108 "protein_coding" "CecC" NA
"FBgn0000283" 0.437260954576641 0.999779224862744 "protein_coding" "Cp190" NA
"FBgn0000286" 0.678416665146294 0.999779224862744 "protein_coding" "Cf2" NA
"FBgn0000289" 0.82836459798826 0.999779224862744 "protein_coding" "cg" NA
"FBgn0000299" 0.202158867303475 0.923242941778152 "protein_coding" "Col4a1" NA
"FBgn0000303" 0.564191033466171 0.999779224862744 "protein_coding" "ChAT" NA
"FBgn0000307" 0.675102431905128 0.999779224862744 "protein_coding" "chif" NA
"FBgn0000308" 0.297940326967061 0.999779224862744 "protein_coding" "chic" NA
