motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0206.1	FBgn0028490	23	10.1066	tp
#
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0013685	238	7.992	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0264895	1221	4.33015	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0053958	1058	4.29708	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0085285	1083	4.28055	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0034437	634	4.2043	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0260857	1141	4.1745	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0052107	1010	4.12558	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0265413	1228	4.08331	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0284245	1276	4.03862	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0086254	1095	3.92184	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0036290	726	3.82382	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0023395	297	3.80511	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0036571	745	3.76958	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0053926	1057	3.76233	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0027528	339	3.74493	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0052251	1014	3.7321	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0033663	587	3.64251	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0039625	876	3.58728	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0015808	263	3.44256	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0034670	643	3.4391	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0003071	154	3.42396	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0000008	102	3.41763	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0034047	607	3.41482	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0037560	787	3.4068	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0039343	75	3.38602	tp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0034490	637	3.37416	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0039747	887	3.35477	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0058178	1065	3.32379	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0038972	845	3.3069	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0051720	999	3.29799	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0052407	1021	3.28548	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0036575	746	3.1925	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0036765	756	3.13439	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0036229	62	3.09302	tp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0053296	1050	3.08169	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0011676	229	3.07616	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0034741	652	3.07277	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0019650	272	3.0635	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0011746	13	3.05821	tp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0085732	1092	3.04805	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0040832	924	3.04768	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0031717	479	3.02701	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0004240	180	3.00061	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0014073	245	2.99743	fp
/home/ellora/projects/faxdc2/ame/jaspar_insects.txt	MA0165.1	FBgn0033968	602	2.97591	fp
